reference_time,kind,model_id,code_version,lead_lo,lead_hi,n,n_forecast,mae,rmse,bias,crps,mae_persistence,mae_diurnal,pit_mean,pit_le_q0.1,pit_le_q0.2,pit_le_q0.3,pit_le_q0.4,pit_le_q0.5,pit_le_q0.6,pit_le_q0.7,pit_le_q0.8,pit_le_q0.9,scored_at,schema_version
2026-09-03 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,0,24,24,24,0.2853317419687909,0.3098280986101746,-0.1673035144805915,0.1756119545300802,0.4666666666666662,0.4791666666666667,0.6460115966611184,0.1666666666666666,0.1666666666666666,0.25,0.25,0.2916666666666667,0.3333333333333333,0.375,0.5,0.75,2026-09-15 15:01:13.470087+00:00,v1
2026-09-03 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,24,48,24,24,0.2543039321899407,0.3530925493431778,-0.1628549893697104,0.1750870974858599,0.3666666666666671,0.7374999999999998,0.5966271457747706,0.0,0.0,0.125,0.2083333333333333,0.25,0.5416666666666666,0.625,0.8333333333333334,0.875,2026-09-15 15:01:13.470087+00:00,v1
2026-09-03 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,48,72,24,24,0.3806835651397702,0.5317314929246756,-0.3449412504831954,0.2667654657363891,0.6958333333333332,0.2833333333333335,0.6809181787557552,0.0,0.0,0.0,0.0833333333333333,0.2083333333333333,0.4166666666666667,0.5416666666666666,0.5416666666666666,0.7916666666666666,2026-09-15 15:01:13.470087+00:00,v1
2026-09-03 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,72,96,24,24,0.1791542371114096,0.2416769738988136,-0.1350665728251138,0.1399093731244406,0.7333333333333331,0.3208333333333337,0.5992653257940487,0.0,0.0,0.0,0.0833333333333333,0.25,0.5,0.8333333333333334,0.875,1.0,2026-09-15 15:01:13.470087+00:00,v1
2026-09-03 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,0,24,24,24,0.2898660659790046,0.31874974374708087,-0.24953632354736413,0.18095717509587614,0.6250000000000004,0.6541666666666668,0.7555767063081861,0.0,0.0,0.0,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.25,0.3333333333333333,0.6666666666666666,2026-09-16 09:10:56.940507+00:00,v1
2026-09-03 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,24,48,24,24,0.5785776615142826,0.6551667231721341,-0.5785776615142826,0.3722260499000547,0.7208333333333338,0.7916666666666662,0.8426198070421544,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.5,2026-09-16 09:10:56.940507+00:00,v1
2026-09-03 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,48,72,24,24,0.1807639598846437,0.344299770156629,-0.14951901435852047,0.16201207876205437,0.5333333333333332,0.22083333333333335,0.5823638879216146,0.0,0.0,0.0,0.0,0.3333333333333333,0.625,0.875,0.875,0.9166666666666666,2026-09-16 09:10:56.940507+00:00,v1
2026-09-03 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,72,96,24,24,0.16868818600972535,0.23010427104370557,-0.08302871386210064,0.14093589464823425,0.5125000000000001,0.27500000000000036,0.5628754330282385,0.0,0.0,0.0,0.125,0.375,0.625,0.7916666666666666,0.9166666666666666,1.0,2026-09-16 09:10:56.940507+00:00,v1
2026-09-07 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,0,24,24,24,0.1935883204142259,0.2261617069120597,0.1557566642761229,0.1227190899848938,0.6791666666666668,0.2875000000000005,0.3135173327767704,0.125,0.25,0.5833333333333334,0.7083333333333334,0.875,0.875,0.9583333333333334,1.0,1.0,2026-09-15 15:01:13.482053+00:00,v1
2026-09-07 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,24,48,23,24,0.2050559002420173,0.2368082609204367,0.1861727838930871,0.1323950319704803,0.6000000000000003,0.6565217391304353,0.3379767825317287,0.0,0.0869565217391304,0.391304347826087,0.7391304347826086,0.9130434782608696,0.9565217391304348,1.0,1.0,1.0,2026-09-15 15:01:13.482053+00:00,v1
2026-09-07 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,48,72,24,24,0.2043660163879394,0.2701619637946861,-0.1060353597005211,0.155493852297465,1.7291666666666672,0.9541666666666664,0.5631410807581432,0.0,0.0,0.0416666666666666,0.125,0.375,0.6666666666666666,0.7916666666666666,0.8333333333333334,1.0,2026-09-15 15:01:13.482053+00:00,v1
2026-09-07 14:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,f7cb12476bf2,72,96,24,24,0.5945014158884686,0.6110775796879744,-0.5945014158884686,0.34964918812116,2.258333333333334,1.4833333333333332,0.8347096773911561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.875,2026-09-15 15:01:13.482053+00:00,v1
2026-09-07 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,0,24,24,24,0.22308772404988644,0.2532205976480093,0.1941553433736168,0.13669660011927282,0.7124999999999999,0.41666666666666724,0.29838836038514693,0.08333333333333333,0.375,0.6666666666666666,0.7916666666666666,0.875,0.875,0.9166666666666666,0.9583333333333334,1.0,2026-09-16 09:10:56.951540+00:00,v1
2026-09-07 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,24,48,23,24,0.3335295967433765,0.35838666670605457,0.2293651083241338,0.19722268892371145,0.2391304347826084,0.7173913043478263,0.3121221645395261,0.0,0.34782608695652173,0.6956521739130435,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.9130434782608695,0.9130434782608695,1.0,2026-09-16 09:10:56.951540+00:00,v1
2026-09-07 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,48,72,24,24,0.31270785331726064,0.40381570117796356,-0.2900544961293541,0.21366653442382813,1.4333333333333325,1.295833333333333,0.6836560297938332,0.0,0.0,0.0,0.041666666666666664,0.2916666666666667,0.375,0.5416666666666666,0.5416666666666666,0.9583333333333334,2026-09-16 09:10:56.951540+00:00,v1
2026-09-07 22:00:00+00:00,oracle,google/timesfm-3.0-pytorch@43046b85ec22,3da7922d29f1,72,96,24,24,0.5244651158650715,0.5548094547985223,-0.5244651158650715,0.3147786116600036,1.7499999999999993,1.6125,0.8189599270968305,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.4166666666666667,0.7916666666666666,2026-09-16 09:10:56.951540+00:00,v1
