reference_time,target_time,kind,covariate_source,issued_at,model_id,code_version,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-07-01 10:00:00+00:00,2026-07-01 11:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,18.525923,18.880373,19.276937,19.52063,19.764324,20.160889,20.515339,21.008734,22.235537,23.615183,24.465284,25.315388,26.695032,27.921839,1019.5049,1019.8973,1020.3484,1020.6296,1020.9108,1021.36194,1021.75433
2026-07-01 10:00:00+00:00,2026-07-01 12:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,18.40374,18.839254,19.314398,19.602518,19.890636,20.36578,20.801296,20.680561,22.379763,24.14723,25.192022,26.236816,28.004282,29.703485,1018.9889,1019.4642,1020.0052,1020.34064,1020.67615,1021.2171,1021.6924
2026-07-01 10:00:00+00:00,2026-07-01 13:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,18.254105,18.762403,19.32167,19.662325,20.00298,20.562246,21.070545,20.08872,22.273315,24.40613,25.62422,26.842312,28.975126,31.159723,1018.4024,1019.00214,1019.6755,1020.09,1020.5046,1021.178,1021.7777
2026-07-01 10:00:00+00:00,2026-07-01 14:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,18.069658,18.67425,19.344717,19.754805,20.164894,20.83536,21.43995,19.5056,21.877853,24.228529,25.581999,26.935469,29.286144,31.658398,1017.83606,1018.5678,1019.3815,1019.8798,1020.3782,1021.19183,1021.9236
2026-07-01 10:00:00+00:00,2026-07-01 15:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,18.018677,18.670385,19.40262,19.853588,20.304558,21.036793,21.688501,18.701096,21.19466,23.772245,25.290798,26.809351,29.386936,31.880503,1017.32245,1018.1873,1019.14307,1019.72656,1020.31006,1021.2658,1022.13074
2026-07-01 10:00:00+00:00,2026-07-01 16:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,17.919632,18.612347,19.398779,19.885777,20.372772,21.159204,21.851921,17.905258,20.430502,23.120586,24.73122,26.341854,29.031939,31.557182,1016.94354,1017.9263,1019.0,1019.6516,1020.3032,1021.37695,1022.3597
2026-07-01 10:00:00+00:00,2026-07-01 17:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,17.86209,18.580536,19.405546,19.919498,20.43345,21.258461,21.976908,17.404137,19.807783,22.462875,24.083483,25.704092,28.359182,30.762829,1016.6423,1017.7409,1018.92914,1019.6463,1020.3635,1021.55176,1022.6504
2026-07-01 10:00:00+00:00,2026-07-01 18:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,17.69335,18.451475,19.32746,19.874937,20.422413,21.298397,22.056522,16.649525,18.999508,21.651377,23.288351,24.925323,27.577194,29.92718,1016.45886,1017.65704,1018.9376,1019.7057,1020.47375,1021.75433,1022.9525
2026-07-01 10:00:00+00:00,2026-07-01 19:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,17.549465,18.335176,19.242405,19.809204,20.376001,21.28323,22.068941,15.792952,18.127172,20.754198,22.37355,23.992905,26.61993,28.954151,1016.446,1017.71985,1019.07104,1019.8782,1020.6853,1022.0365,1023.31036
2026-07-01 10:00:00+00:00,2026-07-01 20:00:00+00:00,live,dwd_forecast,2026-07-01 10:00:00+00:00,,legacy,17.316494,18.150028,19.115816,19.720293,20.32477,21.290558,22.124092,14.8753,17.257622,19.899952,21.516266,23.13258,25.77491,28.157236,1016.4052,1017.778,1019.2121,1020.0618,1020.91156,1022.3457,1023.71844
