reference_time,target_time,kind,covariate_source,issued_at,model_id,code_version,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-08-01 10:00:00+00:00,2026-08-02 01:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.373627,19.061295,19.864317,20.36897,20.873625,21.676647,22.364315,12.7718315,15.238153,17.948627,19.598587,21.248547,23.95902,26.425343,1009.7308,1012.71277,1015.7816,1017.58527,1019.3889,1022.45776,1025.4398
2026-08-01 10:00:00+00:00,2026-08-02 02:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.203238,18.8857,19.670195,20.159166,20.64814,21.432632,22.115097,12.081099,14.639576,17.4045,19.072666,20.740835,23.505756,26.064238,1009.61255,1012.69324,1015.86365,1017.727,1019.59033,1022.76074,1025.8414
2026-08-01 10:00:00+00:00,2026-08-02 03:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.067842,18.747656,19.517334,19.993273,20.46921,21.238888,21.918703,11.645165,14.277018,17.09182,18.780697,20.469574,23.284374,25.91623,1009.08746,1012.35876,1015.7376,1017.7274,1019.71716,1023.096,1026.3673
2026-08-01 10:00:00+00:00,2026-08-02 04:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.021902,18.690193,19.44972,19.92032,20.390923,21.150448,21.81874,11.599804,14.309488,17.222572,18.975254,20.727936,23.641022,26.350706,1008.58545,1012.07355,1015.6656,1017.7774,1019.8893,1023.48126,1026.9694
2026-08-01 10:00:00+00:00,2026-08-02 05:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.98659,18.672564,19.43889,19.909435,20.379978,21.146307,21.83228,12.050681,14.811195,17.804455,19.6136,21.422745,24.416006,27.176521,1008.06586,1011.76074,1015.5389,1017.7517,1019.96454,1023.7427,1027.4375
2026-08-01 10:00:00+00:00,2026-08-02 06:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.03859,18.73131,19.501247,19.97274,20.444233,21.21417,21.90689,12.552431,15.432112,18.64078,20.608284,22.575788,25.784456,28.66414,1007.54407,1011.4064,1015.34717,1017.6525,1019.9579,1023.8987,1027.761
2026-08-01 10:00:00+00:00,2026-08-02 07:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.156908,18.859886,19.632217,20.102285,20.572353,21.344685,22.047665,13.382311,16.327168,19.68362,21.7664,23.849176,27.20563,30.150486,1006.8769,1010.89514,1015.0108,1017.4235,1019.83624,1023.9519,1027.9702
2026-08-01 10:00:00+00:00,2026-08-02 08:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.285744,18.99617,19.773989,20.24653,20.719072,21.496893,22.207317,14.209969,17.322739,20.963278,23.252977,25.542677,29.183216,32.29599,1006.3605,1010.4836,1014.7253,1017.21783,1019.7103,1023.9521,1028.0752
2026-08-01 10:00:00+00:00,2026-08-02 09:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.380404,19.125431,19.936064,20.42691,20.917759,21.72839,22.47342,14.990205,18.30145,22.243464,24.745728,27.24799,31.190002,34.50125,1005.6878,1009.9301,1014.3176,1016.90326,1019.4889,1023.87646,1028.1188
2026-08-01 10:00:00+00:00,2026-08-02 10:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.429869,19.240396,20.11715,20.646389,21.175629,22.052383,22.86291,15.507368,19.076368,23.400433,26.170214,28.939995,33.264057,36.83306,1004.9505,1009.3176,1013.8414,1016.50946,1019.1776,1023.70135,1028.0685
