timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2016-05-01T00Z,0.0,,,1,,,46579
2016-05-01T01Z,0.0,,,1,,,46579
2016-05-01T02Z,0.0,,,1,,,46579
2016-05-01T03Z,0.0,,,1,,,46579
2016-05-01T04Z,0.001,,,1,,,46579
2016-05-01T05Z,0.005,,,1,,,46579
2016-05-01T06Z,0.023,,,1,,,46579
2016-05-01T07Z,0.048,,,1,,,46579
2016-05-01T08Z,0.08,,,1,,,46579
2016-05-01T09Z,0.074,,,1,,,46579
2016-05-01T10Z,0.071,,,1,,,46579
2016-05-01T11Z,0.07,,,1,,,46579
2016-05-01T12Z,0.094,,,1,,,46579
2016-05-01T13Z,0.079,,,1,,,46579
2016-05-01T14Z,0.091,,,1,,,46579
2016-05-01T15Z,0.066,,,1,,,46579
2016-05-01T16Z,0.077,,,1,,,46579
2016-05-01T17Z,0.022,,,1,,,46579
2016-05-01T18Z,0.009,,,1,,,46579
2016-05-01T19Z,0.001,,,1,,,46579
2016-05-01T20Z,0.0,,,1,,,46579
2016-05-01T21Z,0.0,,,1,,,46579
2016-05-01T22Z,0.0,,,1,,,46579
2016-05-01T23Z,0.0,,,1,,,46579
2016-05-02T00Z,0.0,,,1,,,46579
2016-05-02T01Z,0.0,,,1,,,46579
2016-05-02T02Z,0.0,,,1,,,46579
2016-05-02T03Z,0.0,,,1,,,46579
2016-05-02T04Z,0.0,,,1,,,46579
2016-05-02T05Z,0.014,,,1,,,46579
2016-05-02T06Z,0.111,,,1,,,46579
2016-05-02T07Z,0.184,,,1,,,46579
2016-05-02T08Z,0.359,,,1,,,46579
2016-05-02T09Z,0.374,,,1,,,46579
2016-05-02T10Z,0.242,,,1,,,46579
2016-05-02T11Z,0.347,,,1,,,46579
2016-05-02T12Z,0.419,,,1,,,46579
2016-05-02T13Z,0.362,,,1,,,46579
2016-05-02T14Z,0.295,,,1,,,46579
2016-05-02T15Z,0.146,,,1,,,46579
2016-05-02T16Z,0.218,,,1,,,46579
2016-05-02T17Z,0.1,,,1,,,46579
2016-05-02T18Z,0.069,,,1,,,46579
2016-05-02T19Z,0.013,,,1,,,46579
2016-05-02T20Z,0.0,,,1,,,46579
2016-05-02T21Z,0.0,,,1,,,46579
2016-05-02T22Z,0.0,,,1,,,46579
2016-05-02T23Z,0.0,,,1,,,46579
2016-05-03T00Z,0.0,,,1,,,46579
2016-05-03T01Z,0.0,,,1,,,46579
2016-05-03T02Z,0.0,,,1,,,46579
2016-05-03T03Z,0.0,,,1,,,46579
2016-05-03T04Z,0.0,,,1,,,46579
2016-05-03T05Z,0.018,,,1,,,46579
2016-05-03T06Z,0.079,,,1,,,46579
2016-05-03T07Z,0.18,,,1,,,46579
2016-05-03T08Z,0.177,,,1,,,46579
2016-05-03T09Z,0.713,,,1,,,46579
2016-05-03T10Z,0.408,,,1,,,46579
2016-05-03T11Z,0.502,,,1,,,46579
2016-05-03T12Z,0.334,,,1,,,46579
2016-05-03T13Z,0.24,,,1,,,46579
2016-05-03T14Z,0.265,,,1,,,46579
2016-05-03T15Z,0.209,,,1,,,46579
2016-05-03T16Z,0.065,,,1,,,46579
2016-05-03T17Z,0.062,,,1,,,46579
2016-05-03T18Z,0.035,,,1,,,46579
2016-05-03T19Z,0.003,,,1,,,46579
2016-05-03T20Z,0.0,,,1,,,46579
2016-05-03T21Z,0.0,,,1,,,46579
2016-05-03T22Z,0.0,,,1,,,46579
2016-05-03T23Z,0.0,,,1,,,46579
2016-05-04T00Z,0.0,,,1,,,46579
2016-05-04T01Z,0.0,,,1,,,46579
2016-05-04T02Z,0.0,,,1,,,46579
2016-05-04T03Z,0.0,,,1,,,46579
2016-05-04T04Z,0.001,,,1,,,46579
2016-05-04T05Z,0.029,,,1,,,46579
2016-05-04T06Z,0.102,,,1,,,46579
2016-05-04T07Z,0.201,,,1,,,46579
2016-05-04T08Z,0.285,,,1,,,46579
2016-05-04T09Z,0.249,,,1,,,46579
2016-05-04T10Z,0.491,,,1,,,46579
2016-05-04T11Z,0.83,,,1,,,46579
2016-05-04T12Z,0.739,,,1,,,46579
2016-05-04T13Z,0.393,,,1,,,46579
2016-05-04T14Z,0.471,,,1,,,46579
2016-05-04T15Z,0.356,,,1,,,46579
2016-05-04T16Z,0.26,,,1,,,46579
2016-05-04T17Z,0.14,,,1,,,46579
2016-05-04T18Z,0.075,,,1,,,46579
2016-05-04T19Z,0.008,,,1,,,46579
2016-05-04T20Z,0.0,,,1,,,46579
2016-05-04T21Z,0.0,,,1,,,46579
2016-05-04T22Z,0.0,,,1,,,46579
2016-05-04T23Z,0.0,,,1,,,46579
2016-05-05T00Z,0.0,,,1,,,46579
2016-05-05T01Z,0.0,,,1,,,46579
2016-05-05T02Z,0.0,,,1,,,46579
2016-05-05T03Z,0.0,,,1,,,46579
2016-05-05T04Z,0.0,,,1,,,46579
2016-05-05T05Z,0.04,,,1,,,46579
2016-05-05T06Z,0.195,,,1,,,46579
2016-05-05T07Z,0.38,,,1,,,46579
2016-05-05T08Z,0.562,,,1,,,46579
2016-05-05T09Z,0.716,,,1,,,46579
2016-05-05T10Z,0.838,,,1,,,46579
2016-05-05T11Z,0.906,,,1,,,46579
2016-05-05T12Z,0.926,,,1,,,46579
2016-05-05T13Z,0.889,,,1,,,46579
2016-05-05T14Z,0.798,,,1,,,46579
2016-05-05T15Z,0.668,,,1,,,46579
2016-05-05T16Z,0.509,,,1,,,46579
2016-05-05T17Z,0.326,,,1,,,46579
2016-05-05T18Z,0.149,,,1,,,46579
2016-05-05T19Z,0.017,,,1,,,46579
2016-05-05T20Z,0.0,,,1,,,46579
2016-05-05T21Z,0.0,,,1,,,46579
2016-05-05T22Z,0.0,,,1,,,46579
2016-05-05T23Z,0.0,,,1,,,46579
2016-05-06T00Z,0.0,,,1,,,46579
2016-05-06T01Z,0.0,,,1,,,46579
2016-05-06T02Z,0.0,,,1,,,46579
2016-05-06T03Z,0.0,,,1,,,46579
2016-05-06T04Z,0.0,,,1,,,46579
2016-05-06T05Z,0.044,,,1,,,46579
2016-05-06T06Z,0.203,,,1,,,46579
2016-05-06T07Z,0.389,,,1,,,46579
2016-05-06T08Z,0.571,,,1,,,46579
2016-05-06T09Z,0.723,,,1,,,46579
2016-05-06T10Z,0.842,,,1,,,46579
2016-05-06T11Z,0.912,,,1,,,46579
2016-05-06T12Z,0.932,,,1,,,46579
2016-05-06T13Z,0.899,,,1,,,46579
2016-05-06T14Z,0.806,,,1,,,46579
