timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2019-11-01T00Z,0.0,,,1,,,46579
2019-11-01T01Z,0.0,,,1,,,46579
2019-11-01T02Z,0.0,,,1,,,46579
2019-11-01T03Z,0.0,,,1,,,46579
2019-11-01T04Z,0.0,,,1,,,46579
2019-11-01T05Z,0.0,,,1,,,46579
2019-11-01T06Z,0.0,,,1,,,46579
2019-11-01T07Z,0.041,,,1,,,46579
2019-11-01T08Z,0.087,,,1,,,46579
2019-11-01T09Z,0.126,,,1,,,46579
2019-11-01T10Z,0.147,,,1,,,46579
2019-11-01T11Z,0.217,,,1,,,46579
2019-11-01T12Z,0.266,,,1,,,46579
2019-11-01T13Z,0.11,,,1,,,46579
2019-11-01T14Z,0.11,,,1,,,46579
2019-11-01T15Z,0.051,,,1,,,46579
2019-11-01T16Z,0.007,,,1,,,46579
2019-11-01T17Z,0.0,,,1,,,46579
2019-11-01T18Z,0.0,,,1,,,46579
2019-11-01T19Z,0.0,,,1,,,46579
2019-11-01T20Z,0.0,,,1,,,46579
2019-11-01T21Z,0.0,,,1,,,46579
2019-11-01T22Z,0.0,,,1,,,46579
2019-11-01T23Z,0.0,,,1,,,46579
2019-11-02T00Z,0.0,,,1,,,46579
2019-11-02T01Z,0.0,,,1,,,46579
2019-11-02T02Z,0.0,,,1,,,46579
2019-11-02T03Z,0.0,,,1,,,46579
2019-11-02T04Z,0.0,,,1,,,46579
2019-11-02T05Z,0.0,,,1,,,46579
2019-11-02T06Z,0.0,,,1,,,46579
2019-11-02T07Z,0.008,,,1,,,46579
2019-11-02T08Z,0.039,,,1,,,46579
2019-11-02T09Z,0.107,,,1,,,46579
2019-11-02T10Z,0.247,,,1,,,46579
2019-11-02T11Z,0.173,,,1,,,46579
2019-11-02T12Z,0.201,,,1,,,46579
2019-11-02T13Z,0.245,,,1,,,46579
2019-11-02T14Z,0.192,,,1,,,46579
2019-11-02T15Z,0.12,,,1,,,46579
2019-11-02T16Z,0.041,,,1,,,46579
2019-11-02T17Z,0.0,,,1,,,46579
2019-11-02T18Z,0.0,,,1,,,46579
2019-11-02T19Z,0.0,,,1,,,46579
2019-11-02T20Z,0.0,,,1,,,46579
2019-11-02T21Z,0.0,,,1,,,46579
2019-11-02T22Z,0.0,,,1,,,46579
2019-11-02T23Z,0.0,,,1,,,46579
2019-11-03T00Z,0.0,,,1,,,46579
2019-11-03T01Z,0.0,,,1,,,46579
2019-11-03T02Z,0.0,,,1,,,46579
