timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2012-05-01T00Z,0.0,,,1,,,46579
2012-05-01T01Z,0.0,,,1,,,46579
2012-05-01T02Z,0.0,,,1,,,46579
2012-05-01T03Z,0.0,,,1,,,46579
2012-05-01T04Z,0.0,,,1,,,46579
2012-05-01T05Z,0.041,,,1,,,46579
2012-05-01T06Z,0.177,,,1,,,46579
2012-05-01T07Z,0.367,,,1,,,46579
2012-05-01T08Z,0.532,,,1,,,46579
2012-05-01T09Z,0.56,,,1,,,46579
2012-05-01T10Z,0.408,,,1,,,46579
2012-05-01T11Z,0.186,,,1,,,46579
2012-05-01T12Z,0.245,,,1,,,46579
2012-05-01T13Z,0.534,,,1,,,46579
2012-05-01T14Z,0.774,,,1,,,46579
2012-05-01T15Z,0.624,,,1,,,46579
2012-05-01T16Z,0.478,,,1,,,46579
2012-05-01T17Z,0.305,,,1,,,46579
2012-05-01T18Z,0.076,,,1,,,46579
2012-05-01T19Z,0.012,,,1,,,46579
2012-05-01T20Z,0.0,,,1,,,46579
2012-05-01T21Z,0.0,,,1,,,46579
2012-05-01T22Z,0.0,,,1,,,46579
2012-05-01T23Z,0.0,,,1,,,46579
2012-05-02T00Z,0.0,,,1,,,46579
2012-05-02T01Z,0.0,,,1,,,46579
2012-05-02T02Z,0.0,,,1,,,46579
2012-05-02T03Z,0.0,,,1,,,46579
2012-05-02T04Z,0.0,,,1,,,46579
2012-05-02T05Z,0.033,,,1,,,46579
2012-05-02T06Z,0.079,,,1,,,46579
2012-05-02T07Z,0.362,,,1,,,46579
2012-05-02T08Z,0.569,,,1,,,46579
2012-05-02T09Z,0.696,,,1,,,46579
2012-05-02T10Z,0.605,,,1,,,46579
2012-05-02T11Z,0.447,,,1,,,46579
2012-05-02T12Z,0.578,,,1,,,46579
2012-05-02T13Z,0.826,,,1,,,46579
2012-05-02T14Z,0.801,,,1,,,46579
2012-05-02T15Z,0.568,,,1,,,46579
2012-05-02T16Z,0.418,,,1,,,46579
2012-05-02T17Z,0.255,,,1,,,46579
2012-05-02T18Z,0.076,,,1,,,46579
2012-05-02T19Z,0.01,,,1,,,46579
2012-05-02T20Z,0.0,,,1,,,46579
2012-05-02T21Z,0.0,,,1,,,46579
2012-05-02T22Z,0.0,,,1,,,46579
2012-05-02T23Z,0.0,,,1,,,46579
2012-05-03T00Z,0.0,,,1,,,46579
2012-05-03T01Z,0.0,,,1,,,46579
2012-05-03T02Z,0.0,,,1,,,46579
2012-05-03T03Z,0.0,,,1,,,46579
2012-05-03T04Z,0.001,,,1,,,46579
2012-05-03T05Z,0.026,,,1,,,46579
2012-05-03T06Z,0.194,,,1,,,46579
2012-05-03T07Z,0.187,,,1,,,46579
2012-05-03T08Z,0.196,,,1,,,46579
2012-05-03T09Z,0.365,,,1,,,46579
2012-05-03T10Z,0.486,,,1,,,46579
2012-05-03T11Z,0.734,,,1,,,46579
2012-05-03T12Z,0.995,,,1,,,46579
2012-05-03T13Z,0.461,,,1,,,46579
2012-05-03T14Z,0.542,,,1,,,46579
2012-05-03T15Z,0.352,,,1,,,46579
2012-05-03T16Z,0.309,,,1,,,46579
2012-05-03T17Z,0.186,,,1,,,46579
2012-05-03T18Z,0.092,,,1,,,46579
2012-05-03T19Z,0.012,,,1,,,46579
2012-05-03T20Z,0.0,,,1,,,46579
2012-05-03T21Z,0.0,,,1,,,46579
2012-05-03T22Z,0.0,,,1,,,46579
2012-05-03T23Z,0.0,,,1,,,46579
2012-05-04T00Z,0.0,,,1,,,46579
2012-05-04T01Z,0.0,,,1,,,46579
2012-05-04T02Z,0.0,,,1,,,46579
2012-05-04T03Z,0.0,,,1,,,46579
2012-05-04T04Z,0.0,,,1,,,46579
2012-05-04T05Z,0.038,,,1,,,46579
2012-05-04T06Z,0.185,,,1,,,46579
2012-05-04T07Z,0.369,,,1,,,46579
2012-05-04T08Z,0.549,,,1,,,46579
2012-05-04T09Z,0.707,,,1,,,46579
2012-05-04T10Z,0.837,,,1,,,46579
2012-05-04T11Z,0.889,,,1,,,46579
2012-05-04T12Z,0.92,,,1,,,46579
2012-05-04T13Z,0.92,,,1,,,46579
2012-05-04T14Z,0.669,,,1,,,46579
2012-05-04T15Z,0.647,,,1,,,46579
2012-05-04T16Z,0.597,,,1,,,46579
2012-05-04T17Z,0.267,,,1,,,46579
2012-05-04T18Z,0.105,,,1,,,46579
2012-05-04T19Z,0.017,,,1,,,46579
2012-05-04T20Z,0.0,,,1,,,46579
2012-05-04T21Z,0.0,,,1,,,46579
2012-05-04T22Z,0.0,,,1,,,46579
2012-05-04T23Z,0.0,,,1,,,46579
2012-05-05T00Z,0.0,,,1,,,46579
2012-05-05T01Z,0.0,,,1,,,46579
2012-05-05T02Z,0.0,,,1,,,46579
2012-05-05T03Z,0.0,,,1,,,46579
2012-05-05T04Z,0.001,,,1,,,46579
2012-05-05T05Z,0.018,,,1,,,46579
2012-05-05T06Z,0.075,,,1,,,46579
2012-05-05T07Z,0.184,,,1,,,46579
2012-05-05T08Z,0.28,,,1,,,46579
2012-05-05T09Z,0.153,,,1,,,46579
2012-05-05T10Z,0.11,,,1,,,46579
2012-05-05T11Z,0.142,,,1,,,46579
2012-05-05T12Z,0.287,,,1,,,46579
2012-05-05T13Z,0.583,,,1,,,46579
2012-05-05T14Z,0.588,,,1,,,46579
2012-05-05T15Z,0.129,,,1,,,46579
2012-05-05T16Z,0.193,,,1,,,46579
2012-05-05T17Z,0.103,,,1,,,46579
2012-05-05T18Z,0.161,,,1,,,46579
2012-05-05T19Z,0.021,,,1,,,46579
2012-05-05T20Z,0.0,,,1,,,46579
2012-05-05T21Z,0.0,,,1,,,46579
2012-05-05T22Z,0.0,,,1,,,46579
2012-05-05T23Z,0.0,,,1,,,46579
2012-05-06T00Z,0.0,,,1,,,46579
2012-05-06T01Z,0.0,,,1,,,46579
2012-05-06T02Z,0.0,,,1,,,46579
2012-05-06T03Z,0.0,,,1,,,46579
2012-05-06T04Z,0.001,,,1,,,46579
2012-05-06T05Z,0.016,,,1,,,46579
2012-05-06T06Z,0.053,,,1,,,46579
2012-05-06T07Z,0.046,,,1,,,46579
2012-05-06T08Z,0.079,,,1,,,46579
2012-05-06T09Z,0.15,,,1,,,46579
2012-05-06T10Z,0.131,,,1,,,46579
2012-05-06T11Z,0.098,,,1,,,46579
2012-05-06T12Z,0.082,,,1,,,46579
2012-05-06T13Z,0.224,,,1,,,46579
2012-05-06T14Z,0.209,,,1,,,46579
2012-05-06T15Z,0.367,,,1,,,46579
2012-05-06T16Z,0.315,,,1,,,46579
2012-05-06T17Z,0.341,,,1,,,46579
2012-05-06T18Z,0.158,,,1,,,46579
2012-05-06T19Z,0.03,,,1,,,46579
2012-05-06T20Z,0.0,,,1,,,46579
2012-05-06T21Z,0.0,,,1,,,46579
2012-05-06T22Z,0.0,,,1,,,46579
2012-05-06T23Z,0.0,,,1,,,46579
2012-05-07T00Z,0.0,,,1,,,46579
2012-05-07T01Z,0.0,,,1,,,46579
2012-05-07T02Z,0.0,,,1,,,46579
2012-05-07T03Z,0.0,,,1,,,46579
2012-05-07T04Z,0.001,,,1,,,46579
2012-05-07T05Z,0.018,,,1,,,46579
2012-05-07T06Z,0.072,,,1,,,46579
2012-05-07T07Z,0.137,,,1,,,46579
2012-05-07T08Z,0.256,,,1,,,46579
2012-05-07T09Z,0.487,,,1,,,46579
2012-05-07T10Z,0.764,,,1,,,46579
2012-05-07T11Z,0.959,,,1,,,46579
2012-05-07T12Z,0.512,,,1,,,46579
2012-05-07T13Z,0.3,,,1,,,46579
2012-05-07T14Z,0.611,,,1,,,46579
2012-05-07T15Z,0.666,,,1,,,46579
2012-05-07T16Z,0.412,,,1,,,46579
2012-05-07T17Z,0.27,,,1,,,46579
2012-05-07T18Z,0.096,,,1,,,46579
2012-05-07T19Z,0.019,,,1,,,46579
2012-05-07T20Z,0.0,,,1,,,46579
2012-05-07T21Z,0.0,,,1,,,46579
2012-05-07T22Z,0.0,,,1,,,46579
2012-05-07T23Z,0.0,,,1,,,46579
2012-05-08T00Z,0.0,,,1,,,46579
2012-05-08T01Z,0.0,,,1,,,46579
2012-05-08T02Z,0.0,,,1,,,46579
2012-05-08T03Z,0.0,,,1,,,46579
2012-05-08T04Z,0.0,,,1,,,46579
2012-05-08T05Z,0.044,,,1,,,46579
2012-05-08T06Z,0.208,,,1,,,46579
2012-05-08T07Z,0.386,,,1,,,46579
2012-05-08T08Z,0.547,,,1,,,46579
2012-05-08T09Z,0.723,,,1,,,46579
2012-05-08T10Z,0.847,,,1,,,46579
2012-05-08T11Z,0.881,,,1,,,46579
2012-05-08T12Z,0.86,,,1,,,46579
2012-05-08T13Z,0.806,,,1,,,46579
2012-05-08T14Z,0.692,,,1,,,46579
2012-05-08T15Z,0.576,,,1,,,46579
2012-05-08T16Z,0.297,,,1,,,46579
2012-05-08T17Z,0.158,,,1,,,46579
2012-05-08T18Z,0.072,,,1,,,46579
2012-05-08T19Z,0.016,,,1,,,46579
2012-05-08T20Z,0.0,,,1,,,46579
2012-05-08T21Z,0.0,,,1,,,46579
2012-05-08T22Z,0.0,,,1,,,46579
2012-05-08T23Z,0.0,,,1,,,46579
2012-05-09T00Z,0.0,,,1,,,46579
2012-05-09T01Z,0.0,,,1,,,46579
2012-05-09T02Z,0.0,,,1,,,46579
2012-05-09T03Z,0.0,,,1,,,46579
2012-05-09T04Z,0.002,,,1,,,46579
2012-05-09T05Z,0.018,,,1,,,46579
2012-05-09T06Z,0.049,,,1,,,46579
2012-05-09T07Z,0.117,,,1,,,46579
2012-05-09T08Z,0.328,,,1,,,46579
2012-05-09T09Z,0.649,,,1,,,46579
2012-05-09T10Z,0.727,,,1,,,46579
2012-05-09T11Z,0.558,,,1,,,46579
