timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2025-04-01T00Z,0.0,,,1,,,46579
2025-04-01T01Z,0.0,,,1,,,46579
2025-04-01T02Z,0.0,,,1,,,46579
2025-04-01T03Z,0.0,,,1,,,46579
2025-04-01T04Z,0.0,,,1,,,46579
2025-04-01T05Z,0.0,,,1,,,46579
2025-04-01T06Z,0.006,,,1,,,46579
2025-04-01T07Z,0.016,,,1,,,46579
2025-04-01T08Z,0.044,,,1,,,46579
2025-04-01T09Z,0.092,,,1,,,46579
2025-04-01T10Z,0.102,,,1,,,46579
2025-04-01T11Z,0.15,,,1,,,46579
2025-04-01T12Z,0.221,,,1,,,46579
2025-04-01T13Z,0.134,,,1,,,46579
2025-04-01T14Z,0.135,,,1,,,46579
2025-04-01T15Z,0.405,,,1,,,46579
2025-04-01T16Z,0.265,,,1,,,46579
2025-04-01T17Z,0.105,,,1,,,46579
2025-04-01T18Z,0.02,,,1,,,46579
2025-04-01T19Z,0.0,,,1,,,46579
2025-04-01T20Z,0.0,,,1,,,46579
2025-04-01T21Z,0.0,,,1,,,46579
2025-04-01T22Z,0.0,,,1,,,46579
2025-04-01T23Z,0.0,,,1,,,46579
2025-04-02T00Z,0.0,,,1,,,46579
2025-04-02T01Z,0.0,,,1,,,46579
2025-04-02T02Z,0.0,,,1,,,46579
2025-04-02T03Z,0.0,,,1,,,46579
2025-04-02T04Z,0.0,,,1,,,46579
2025-04-02T05Z,0.0,,,1,,,46579
2025-04-02T06Z,0.011,,,1,,,46579
2025-04-02T07Z,0.052,,,1,,,46579
2025-04-02T08Z,0.174,,,1,,,46579
2025-04-02T09Z,0.509,,,1,,,46579
2025-04-02T10Z,0.651,,,1,,,46579
2025-04-02T11Z,0.783,,,1,,,46579
2025-04-02T12Z,0.805,,,1,,,46579
2025-04-02T13Z,0.762,,,1,,,46579
2025-04-02T14Z,0.683,,,1,,,46579
2025-04-02T15Z,0.55,,,1,,,46579
2025-04-02T16Z,0.385,,,1,,,46579
2025-04-02T17Z,0.208,,,1,,,46579
2025-04-02T18Z,0.051,,,1,,,46579
2025-04-02T19Z,0.001,,,1,,,46579
2025-04-02T20Z,0.0,,,1,,,46579
2025-04-02T21Z,0.0,,,1,,,46579
2025-04-02T22Z,0.0,,,1,,,46579
2025-04-02T23Z,0.0,,,1,,,46579
2025-04-03T00Z,0.0,,,1,,,46579
2025-04-03T01Z,0.0,,,1,,,46579
2025-04-03T02Z,0.0,,,1,,,46579
2025-04-03T03Z,0.0,,,1,,,46579
2025-04-03T04Z,0.0,,,1,,,46579
2025-04-03T05Z,0.001,,,1,,,46579
2025-04-03T06Z,0.067,,,1,,,46579
2025-04-03T07Z,0.216,,,1,,,46579
2025-04-03T08Z,0.398,,,1,,,46579
2025-04-03T09Z,0.561,,,1,,,46579
2025-04-03T10Z,0.689,,,1,,,46579
2025-04-03T11Z,0.77,,,1,,,46579
2025-04-03T12Z,0.797,,,1,,,46579
2025-04-03T13Z,0.771,,,1,,,46579
2025-04-03T14Z,0.686,,,1,,,46579
2025-04-03T15Z,0.555,,,1,,,46579
2025-04-03T16Z,0.389,,,1,,,46579
2025-04-03T17Z,0.207,,,1,,,46579
2025-04-03T18Z,0.047,,,1,,,46579
2025-04-03T19Z,0.0,,,1,,,46579
2025-04-03T20Z,0.0,,,1,,,46579
2025-04-03T21Z,0.0,,,1,,,46579
2025-04-03T22Z,0.0,,,1,,,46579
2025-04-03T23Z,0.0,,,1,,,46579
2025-04-04T00Z,0.0,,,1,,,46579
2025-04-04T01Z,0.0,,,1,,,46579
2025-04-04T02Z,0.0,,,1,,,46579
2025-04-04T03Z,0.0,,,1,,,46579
2025-04-04T04Z,0.0,,,1,,,46579
2025-04-04T05Z,0.001,,,1,,,46579
2025-04-04T06Z,0.06,,,1,,,46579
2025-04-04T07Z,0.228,,,1,,,46579
2025-04-04T08Z,0.414,,,1,,,46579
2025-04-04T09Z,0.581,,,1,,,46579
2025-04-04T10Z,0.711,,,1,,,46579
2025-04-04T11Z,0.792,,,1,,,46579
2025-04-04T12Z,0.819,,,1,,,46579
2025-04-04T13Z,0.788,,,1,,,46579
2025-04-04T14Z,0.704,,,1,,,46579
2025-04-04T15Z,0.571,,,1,,,46579
2025-04-04T16Z,0.404,,,1,,,46579
2025-04-04T17Z,0.219,,,1,,,46579
2025-04-04T18Z,0.054,,,1,,,46579
2025-04-04T19Z,0.001,,,1,,,46579
2025-04-04T20Z,0.0,,,1,,,46579
2025-04-04T21Z,0.0,,,1,,,46579
2025-04-04T22Z,0.0,,,1,,,46579
2025-04-04T23Z,0.0,,,1,,,46579
2025-04-05T00Z,0.0,,,1,,,46579
2025-04-05T01Z,0.0,,,1,,,46579
2025-04-05T02Z,0.0,,,1,,,46579
2025-04-05T03Z,0.0,,,1,,,46579
2025-04-05T04Z,0.0,,,1,,,46579
2025-04-05T05Z,0.001,,,1,,,46579
2025-04-05T06Z,0.066,,,1,,,46579
2025-04-05T07Z,0.235,,,1,,,46579
2025-04-05T08Z,0.411,,,1,,,46579
2025-04-05T09Z,0.581,,,1,,,46579
2025-04-05T10Z,0.705,,,1,,,46579
2025-04-05T11Z,0.775,,,1,,,46579
2025-04-05T12Z,0.821,,,1,,,46579
2025-04-05T13Z,0.789,,,1,,,46579
2025-04-05T14Z,0.662,,,1,,,46579
2025-04-05T15Z,0.407,,,1,,,46579
2025-04-05T16Z,0.342,,,1,,,46579
2025-04-05T17Z,0.152,,,1,,,46579
2025-04-05T18Z,0.021,,,1,,,46579
2025-04-05T19Z,0.001,,,1,,,46579
2025-04-05T20Z,0.0,,,1,,,46579
2025-04-05T21Z,0.0,,,1,,,46579
2025-04-05T22Z,0.0,,,1,,,46579
2025-04-05T23Z,0.0,,,1,,,46579
2025-04-06T00Z,0.0,,,1,,,46579
2025-04-06T01Z,0.0,,,1,,,46579
2025-04-06T02Z,0.0,,,1,,,46579
2025-04-06T03Z,0.0,,,1,,,46579
2025-04-06T04Z,0.0,,,1,,,46579
2025-04-06T05Z,0.002,,,1,,,46579
2025-04-06T06Z,0.069,,,1,,,46579
2025-04-06T07Z,0.242,,,1,,,46579
2025-04-06T08Z,0.439,,,1,,,46579
2025-04-06T09Z,0.611,,,1,,,46579
2025-04-06T10Z,0.745,,,1,,,46579
2025-04-06T11Z,0.826,,,1,,,46579
2025-04-06T12Z,0.853,,,1,,,46579
2025-04-06T13Z,0.821,,,1,,,46579
2025-04-06T14Z,0.731,,,1,,,46579
2025-04-06T15Z,0.596,,,1,,,46579
2025-04-06T16Z,0.426,,,1,,,46579
2025-04-06T17Z,0.236,,,1,,,46579
2025-04-06T18Z,0.063,,,1,,,46579
2025-04-06T19Z,0.001,,,1,,,46579
2025-04-06T20Z,0.0,,,1,,,46579
2025-04-06T21Z,0.0,,,1,,,46579
2025-04-06T22Z,0.0,,,1,,,46579
2025-04-06T23Z,0.0,,,1,,,46579
2025-04-07T00Z,0.0,,,1,,,46579
2025-04-07T01Z,0.0,,,1,,,46579
2025-04-07T02Z,0.0,,,1,,,46579
2025-04-07T03Z,0.0,,,1,,,46579
2025-04-07T04Z,0.0,,,1,,,46579
2025-04-07T05Z,0.003,,,1,,,46579
2025-04-07T06Z,0.076,,,1,,,46579
