timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2012-06-01T00Z,0.0,,,1,,,46579
2012-06-01T01Z,0.0,,,1,,,46579
2012-06-01T02Z,0.0,,,1,,,46579
2012-06-01T03Z,0.0,,,1,,,46579
2012-06-01T04Z,0.003,,,1,,,46579
2012-06-01T05Z,0.008,,,1,,,46579
2012-06-01T06Z,0.024,,,1,,,46579
2012-06-01T07Z,0.027,,,1,,,46579
2012-06-01T08Z,0.079,,,1,,,46579
2012-06-01T09Z,0.128,,,1,,,46579
2012-06-01T10Z,0.118,,,1,,,46579
2012-06-01T11Z,0.119,,,1,,,46579
2012-06-01T12Z,0.332,,,1,,,46579
2012-06-01T13Z,0.64,,,1,,,46579
2012-06-01T14Z,0.579,,,1,,,46579
2012-06-01T15Z,0.413,,,1,,,46579
2012-06-01T16Z,0.334,,,1,,,46579
2012-06-01T17Z,0.072,,,1,,,46579
2012-06-01T18Z,0.025,,,1,,,46579
2012-06-01T19Z,0.011,,,1,,,46579
2012-06-01T20Z,0.001,,,1,,,46579
2012-06-01T21Z,0.0,,,1,,,46579
2012-06-01T22Z,0.0,,,1,,,46579
2012-06-01T23Z,0.0,,,1,,,46579
2012-06-02T00Z,0.0,,,1,,,46579
2012-06-02T01Z,0.0,,,1,,,46579
2012-06-02T02Z,0.0,,,1,,,46579
2012-06-02T03Z,0.0,,,1,,,46579
2012-06-02T04Z,0.0,,,1,,,46579
2012-06-02T05Z,0.006,,,1,,,46579
2012-06-02T06Z,0.023,,,1,,,46579
2012-06-02T07Z,0.072,,,1,,,46579
2012-06-02T08Z,0.284,,,1,,,46579
2012-06-02T09Z,0.51,,,1,,,46579
2012-06-02T10Z,0.441,,,1,,,46579
2012-06-02T11Z,0.499,,,1,,,46579
2012-06-02T12Z,0.691,,,1,,,46579
2012-06-02T13Z,0.772,,,1,,,46579
2012-06-02T14Z,0.656,,,1,,,46579
2012-06-02T15Z,0.62,,,1,,,46579
2012-06-02T16Z,0.568,,,1,,,46579
2012-06-02T17Z,0.33,,,1,,,46579
