timestamp,range,hampel,jump,frozen,missing,duplicate,conflicting_duplicate,subhourly_range,policy
2026-09-09 08:00:00+00:00,True,True,True,False,False,False,False,True,v1
2026-09-09 09:00:00+00:00,False,False,True,False,False,False,False,False,v1
2026-09-15 15:00:00+00:00,False,False,False,False,True,False,False,False,v1
