timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2026-05-01T00Z,11.2,11.2,,,4,,
2026-05-01T01Z,11.2,11.2,,,4,,
2026-05-01T02Z,11.2,11.2,,,4,,
2026-05-01T03Z,11.2,11.2,,,4,,
2026-05-01T04Z,11.2,11.175,11.1,,4,,
2026-05-01T05Z,11.1,11.125,,11.2,4,,
2026-05-01T06Z,11.2,11.225,,11.3,4,,
2026-05-01T07Z,11.3,11.375,,11.4,4,,
2026-05-01T08Z,11.4,11.475,,11.5,4,,
2026-05-01T09Z,11.5,11.5,,,4,,
2026-05-01T10Z,11.5,11.5,,,4,,
2026-05-01T11Z,11.5,11.45,11.4,,4,,
2026-05-01T12Z,11.4,11.375,11.3,,4,,
2026-05-01T13Z,11.3,11.3,,,4,,
2026-05-01T14Z,11.3,11.3,,,4,,
2026-05-01T15Z,11.3,11.3,,,4,,
2026-05-01T16Z,11.3,11.3,,,4,,
2026-05-01T17Z,11.4,11.4,,,4,,
2026-05-01T18Z,11.4,11.45,,11.5,4,,
2026-05-01T19Z,11.5,11.5,,,4,,
2026-05-01T20Z,11.6,11.6,,,4,,
2026-05-01T21Z,11.6,11.6,,,4,,
2026-05-01T22Z,11.6,11.6,,,4,,
2026-05-01T23Z,11.6,11.6,,,4,,
2026-05-02T00Z,11.6,11.6,,,4,,
2026-05-02T01Z,11.6,11.6,,,4,,
2026-05-02T02Z,11.6,11.625,,11.7,4,,
2026-05-02T03Z,11.7,11.7,,,4,,
2026-05-02T04Z,11.7,11.7,,,4,,
2026-05-02T05Z,11.7,11.775,,11.8,4,,
2026-05-02T06Z,11.8,11.9,,12.0,4,,
2026-05-02T07Z,12.0,12.15,,12.3,4,,
2026-05-02T08Z,12.3,12.4,,12.5,4,,
2026-05-02T09Z,12.5,12.6,,12.7,4,,
2026-05-02T10Z,12.7,12.775,,12.8,4,,
2026-05-02T11Z,12.8,12.875,,12.9,4,,
2026-05-02T12Z,12.9,12.9,,,4,,
2026-05-02T13Z,12.9,12.9,,,4,,
