timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2026-07-01T00Z,21.0,21.0,,,4,,
2026-07-01T01Z,21.0,21.075000000000003,,21.1,4,,
2026-07-01T02Z,21.1,21.15,,21.2,4,,
2026-07-01T03Z,21.2,21.25,,21.3,4,,
2026-07-01T04Z,21.3,21.375,,21.4,4,,
2026-07-01T05Z,21.4,21.425,,21.5,4,,
2026-07-01T06Z,21.5,21.5,,,4,,
2026-07-01T07Z,21.4,21.375,21.3,,4,,
2026-07-01T08Z,21.3,21.25,21.2,,4,,
2026-07-01T09Z,21.1,21.05,21.0,,4,,
2026-07-01T10Z,20.9,20.8,20.7,,4,,
2026-07-01T11Z,20.7,20.575,20.5,,4,,
2026-07-01T12Z,20.4,20.35,20.3,,4,,
2026-07-01T13Z,20.2,20.2,,,4,,
2026-07-01T14Z,20.1,20.1,,,4,,
2026-07-01T15Z,20.1,20.025,20.0,,4,,
2026-07-01T16Z,20.0,19.95,19.9,,4,,
2026-07-01T17Z,19.9,19.9,,,4,,
2026-07-01T18Z,19.9,19.8,19.7,,4,,
2026-07-01T19Z,19.7,19.6,19.5,,4,,
2026-07-01T20Z,19.4,19.35,19.3,,4,,
2026-07-01T21Z,19.2,19.15,19.1,,4,,
2026-07-01T22Z,19.0,18.95,18.9,,4,,
2026-07-01T23Z,18.9,18.825,18.8,,4,,
2026-07-02T00Z,18.7,18.65,18.6,,4,,
2026-07-02T01Z,18.6,18.525,18.5,,4,,
2026-07-02T02Z,18.4,18.375,18.3,,4,,
2026-07-02T03Z,18.3,18.25,18.2,,4,,
2026-07-02T04Z,18.2,18.15,18.1,,4,,
2026-07-02T05Z,18.1,18.05,18.0,,4,,
2026-07-02T06Z,18.0,18.0,,,4,,
2026-07-02T07Z,18.1,18.1,,,4,,
2026-07-02T08Z,18.1,18.175,,18.2,4,,
2026-07-02T09Z,18.2,18.275,,18.3,4,,
2026-07-02T10Z,18.4,18.425,,18.5,4,,
2026-07-02T11Z,18.5,18.55,,18.6,4,,
2026-07-02T12Z,18.7,18.75,,18.8,4,,
2026-07-02T13Z,18.8,18.9,,19.0,4,,
2026-07-02T14Z,19.0,19.1,,19.2,4,,
2026-07-02T15Z,19.3,19.4,,19.5,4,,
2026-07-02T16Z,19.6,19.625,,19.7,4,,
2026-07-02T17Z,19.7,19.75,,19.8,4,,
2026-07-02T18Z,19.8,19.8,,,4,,
2026-07-02T19Z,19.8,19.8,,,4,,
2026-07-02T20Z,19.8,19.8,,,4,,
2026-07-02T21Z,19.9,19.925,,20.0,4,,
2026-07-02T22Z,20.0,20.0,,,4,,
2026-07-02T23Z,20.1,20.1,,,4,,
2026-07-03T00Z,20.1,20.1,,,4,,
2026-07-03T01Z,20.2,20.2,,,4,,
2026-07-03T02Z,20.2,20.25,,20.3,4,,
2026-07-03T03Z,20.3,20.3,,,4,,
2026-07-03T04Z,20.3,20.25,20.2,,4,,
2026-07-03T05Z,20.2,20.2,,,4,,
2026-07-03T06Z,20.2,20.2,,,4,,
2026-07-03T07Z,20.1,20.1,,,4,,
2026-07-03T08Z,20.1,20.1,,,4,,
2026-07-03T09Z,20.1,20.05,20.0,,4,,
2026-07-03T10Z,20.0,20.075000000000003,,20.1,4,,
2026-07-03T11Z,20.1,20.1,,,4,,
2026-07-03T12Z,20.2,20.2,,,4,,
2026-07-03T13Z,20.2,20.2,,,4,,
2026-07-03T14Z,20.1,20.1,,,4,,
2026-07-03T15Z,20.1,20.05,20.0,,4,,
2026-07-03T16Z,20.0,19.975,19.9,,4,,
2026-07-03T17Z,19.9,19.9,,,4,,
2026-07-03T18Z,19.8,19.8,,,4,,
2026-07-03T19Z,19.8,19.85,,19.9,4,,
2026-07-03T20Z,19.9,19.9,,,4,,
2026-07-03T21Z,19.9,19.9,,,4,,
2026-07-03T22Z,19.9,19.85,19.8,,4,,
2026-07-03T23Z,19.8,19.775,19.7,,4,,
2026-07-04T00Z,19.7,19.675,19.6,,4,,
2026-07-04T01Z,19.6,19.55,19.5,,4,,
2026-07-04T02Z,19.5,19.475,19.4,,4,,
2026-07-04T03Z,19.4,19.4,,,4,,
2026-07-04T04Z,19.4,19.4,,,4,,
2026-07-04T05Z,19.4,19.4,,,4,,
2026-07-04T06Z,19.4,19.475,,19.5,4,,
2026-07-04T07Z,19.6,19.65,,19.7,4,,
2026-07-04T08Z,19.7,19.775,,19.8,4,,
2026-07-04T09Z,19.9,19.925,,20.0,4,,
2026-07-04T10Z,20.0,20.025,,20.1,4,,
2026-07-04T11Z,20.1,20.1,,,4,,
2026-07-04T12Z,20.1,20.175,,20.2,4,,
2026-07-04T13Z,20.2,20.275,,20.3,4,,
2026-07-04T14Z,20.3,20.375,,20.4,4,,
2026-07-04T15Z,20.5,20.5,,,4,,
2026-07-04T16Z,20.6,20.6,,,4,,
2026-07-04T17Z,20.6,20.6,,,4,,
2026-07-04T18Z,20.6,20.6,,,4,,
2026-07-04T19Z,20.6,20.575000000000003,20.5,,4,,
2026-07-04T20Z,20.5,20.5,,,4,,
2026-07-04T21Z,20.5,20.425,20.4,,4,,
2026-07-04T22Z,20.3,20.3,,,4,,
2026-07-04T23Z,20.3,20.225,20.2,,4,,
2026-07-05T00Z,20.2,20.2,,,4,,
2026-07-05T01Z,20.2,20.2,,,4,,
2026-07-05T02Z,20.2,20.2,,,4,,
2026-07-05T03Z,20.2,20.2,,,4,,
2026-07-05T04Z,20.2,20.2,,,4,,
2026-07-05T05Z,20.2,20.2,,,4,,
2026-07-05T06Z,20.2,20.15,20.1,,4,,
2026-07-05T07Z,20.1,20.1,,,4,,
2026-07-05T08Z,20.1,20.05,20.0,,4,,
2026-07-05T09Z,20.0,19.925,19.9,,4,,
