timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2026-02-01T00Z,5.8,5.8,,,4,,
2026-02-01T01Z,5.8,5.725,5.7,,4,,
2026-02-01T02Z,5.7,5.7,,,4,,
2026-02-01T03Z,5.7,5.625,5.6,,4,,
2026-02-01T04Z,5.6,5.6,,,4,,
2026-02-01T05Z,5.6,5.6,,,4,,
2026-02-01T06Z,5.6,5.6,,,4,,
2026-02-01T07Z,5.6,5.6,,,4,,
2026-02-01T08Z,5.6,5.6,,,4,,
2026-02-01T09Z,5.6,5.65,,5.7,4,,
2026-02-01T10Z,5.8,5.85,,5.9,4,,
2026-02-01T11Z,5.9,5.975,,6.0,4,,
2026-02-01T12Z,6.1,6.125,,6.2,4,,
2026-02-01T13Z,6.2,6.25,,6.3,4,,
2026-02-01T14Z,,,,,0,,
2026-02-01T15Z,,,,,0,,
2026-02-01T16Z,,,,,0,,
2026-02-01T17Z,,,,,0,,
2026-02-01T18Z,,,,,0,,
2026-02-01T19Z,,,,,0,,
2026-02-01T20Z,,,,,0,,
2026-02-01T21Z,,,,,0,,
2026-02-01T22Z,,,,,0,,
2026-02-01T23Z,,,,,0,,
2026-02-02T00Z,5.8,5.733333333333333,5.7,,3,,
2026-02-02T01Z,5.7,5.675,5.6,,4,,
2026-02-02T02Z,5.6,5.55,5.5,,4,,
2026-02-02T03Z,5.5,5.4,5.3,,4,,
2026-02-02T04Z,5.2,5.125,5.0,,4,,
2026-02-02T05Z,5.0,4.925000000000001,4.9,,4,,
2026-02-02T06Z,4.8,4.75,4.7,,4,,
2026-02-02T07Z,4.7,4.625,4.6,,4,,
2026-02-02T08Z,4.6,4.6,,,4,,
2026-02-02T09Z,4.6,4.625,,4.7,4,,
2026-02-02T10Z,4.7,4.8,,4.9,4,,
2026-02-02T11Z,5.0,5.075,,5.2,4,,
2026-02-02T12Z,5.3,5.45,,5.6,4,,
2026-02-02T13Z,5.7,5.8,,5.9,4,,
2026-02-02T14Z,6.0,6.05,,6.1,4,,
