timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2025-04-05T17Z,10.8,10.725,10.6,,4,,
2025-04-05T18Z,10.5,10.35,10.2,,4,,
2025-04-05T19Z,10.1,10.025,9.9,,4,,
2025-04-05T20Z,9.8,9.575,9.4,,4,,
2025-04-05T21Z,9.3,9.15,9.0,,4,,
2025-04-05T22Z,8.8,8.65,8.5,,4,,
2025-04-05T23Z,8.4,8.325,8.2,,4,,
2025-04-06T00Z,8.1,7.9,7.7,,4,,
2025-04-06T01Z,7.6,7.45,7.3,,4,,
2025-04-06T02Z,7.2,7.125,7.0,,4,,
2025-04-06T03Z,6.9,6.85,6.8,,4,,
2025-04-06T04Z,6.7,6.6,6.5,,4,,
2025-04-06T05Z,6.5,6.375,6.3,,4,,
2025-04-06T06Z,6.2,6.2,,,4,,
2025-04-06T07Z,6.2,6.3,,6.4,4,,
2025-04-06T08Z,6.5,6.65,,6.8,4,,
2025-04-06T09Z,6.9,7.15,,7.4,4,,
2025-04-06T10Z,7.6,7.825,,8.1,4,,
2025-04-06T11Z,8.2,8.475,,8.7,4,,
2025-04-06T12Z,8.9,9.1,,9.3,4,,
2025-04-06T13Z,9.4,9.55,,9.7,4,,
2025-04-06T14Z,9.7,9.775,,9.8,4,,
2025-04-06T15Z,9.8,9.8,,,4,,
2025-04-06T16Z,9.7,9.6,9.5,,4,,
2025-04-06T17Z,9.4,9.175,9.0,,4,,
2025-04-06T18Z,8.9,8.7,8.5,,4,,
2025-04-06T19Z,8.4,8.25,8.1,,4,,
2025-04-06T20Z,8.0,7.8,7.6,,4,,
2025-04-06T21Z,7.5,7.35,7.2,,4,,
2025-04-06T22Z,7.1,6.95,6.8,,4,,
2025-04-06T23Z,6.7,6.55,6.4,,4,,
2025-04-07T00Z,6.3,6.15,6.0,,4,,
2025-04-07T01Z,5.9,5.8,5.7,,4,,
2025-04-07T02Z,5.6,5.55,5.5,,4,,
2025-04-07T03Z,5.4,5.35,5.3,,4,,
2025-04-07T04Z,5.3,5.225,5.2,,4,,
2025-04-07T05Z,5.2,5.15,5.1,,4,,
2025-04-07T06Z,5.1,5.15,,5.2,4,,
2025-04-07T07Z,5.3,5.4,,5.5,4,,
2025-04-07T08Z,5.7,5.85,,6.0,4,,
2025-04-07T09Z,6.2,6.475,,6.7,4,,
2025-04-07T10Z,6.9,7.2,,7.5,4,,
2025-04-07T11Z,7.7,8.0,,8.3,4,,
2025-04-07T12Z,8.5,8.7,,8.9,4,,
2025-04-07T13Z,9.1,9.25,,9.4,4,,
2025-04-07T14Z,9.5,9.6,,9.7,4,,
2025-04-07T15Z,9.7,9.7,,,4,,
2025-04-07T16Z,9.7,9.6,9.5,,4,,
2025-04-07T17Z,9.4,9.25,9.1,,4,,
2025-04-07T18Z,9.0,8.775,8.6,,4,,
2025-04-07T19Z,8.6,8.45,8.3,,4,,
2025-04-07T20Z,8.2,8.1,8.0,,4,,
2025-04-07T21Z,7.9,7.775,7.7,,4,,
2025-04-07T22Z,7.6,7.45,7.3,,4,,
2025-04-07T23Z,7.2,7.125,7.0,,4,,
2025-04-08T00Z,6.9,6.775,6.7,,4,,
2025-04-08T01Z,6.6,6.45,6.3,,4,,
2025-04-08T02Z,6.3,6.175,6.1,,4,,
2025-04-08T03Z,6.0,5.95,5.9,,4,,
2025-04-08T04Z,5.9,5.825,5.8,,4,,
2025-04-08T05Z,5.7,5.7,,,4,,
2025-04-08T06Z,5.7,5.7,,,4,,
2025-04-08T07Z,5.8,5.925,,6.1,4,,
2025-04-08T08Z,6.2,6.375,,6.6,4,,
2025-04-08T09Z,6.8,7.025,,7.3,4,,
2025-04-08T10Z,7.5,7.8,,8.1,4,,
2025-04-08T11Z,8.3,8.6,,8.9,4,,
2025-04-08T12Z,9.1,9.325,,9.6,4,,
2025-04-08T13Z,9.7,9.9,,10.1,4,,
2025-04-08T14Z,10.2,10.3,,10.4,4,,
2025-04-08T15Z,10.4,10.4,,,4,,
2025-04-08T16Z,10.4,10.3,10.2,,4,,
2025-04-08T17Z,10.1,9.95,9.8,,4,,
2025-04-08T18Z,9.6,9.45,9.3,,4,,
2025-04-08T19Z,9.2,9.05,8.9,,4,,
2025-04-08T20Z,8.8,8.6,8.4,,4,,
2025-04-08T21Z,8.3,8.075,7.9,,4,,
2025-04-08T22Z,7.8,7.6,7.4,,4,,
2025-04-08T23Z,7.3,7.15,7.0,,4,,
2025-04-09T00Z,6.9,6.75,6.6,,4,,
2025-04-09T01Z,6.5,6.4,6.3,,4,,
2025-04-09T02Z,6.2,6.15,6.1,,4,,
2025-04-09T03Z,6.0,5.95,5.9,,4,,
2025-04-09T04Z,5.9,5.825,5.8,,4,,
2025-04-09T05Z,5.8,5.8,,,4,,
2025-04-09T06Z,5.8,5.825,,5.9,4,,
2025-04-09T07Z,5.9,6.05,,6.2,4,,
2025-04-09T08Z,6.4,6.575,,6.8,4,,
2025-04-09T09Z,7.0,7.225,,7.5,4,,
2025-04-09T10Z,7.7,8.025,,8.4,4,,
2025-04-09T11Z,8.6,8.9,,9.2,4,,
2025-04-09T12Z,9.3,9.525,,9.7,4,,
2025-04-09T13Z,9.7,9.75,,9.8,4,,
2025-04-09T14Z,9.8,9.725,9.7,,4,,
2025-04-09T15Z,9.7,9.825,,9.9,4,,
2025-04-09T16Z,9.9,9.875,9.8,,4,,
2025-04-09T17Z,9.7,9.625,9.5,,4,,
2025-04-09T18Z,9.4,9.25,9.1,,4,,
2025-04-09T19Z,9.0,8.85,8.7,,4,,
2025-04-09T20Z,8.6,8.375,8.2,,4,,
2025-04-09T21Z,8.0,7.85,7.7,,4,,
2025-04-09T22Z,7.6,7.4,7.3,,4,,
2025-04-09T23Z,7.2,7.05,6.9,,4,,
2025-04-10T00Z,6.9,6.75,6.6,,4,,
2025-04-10T01Z,6.6,6.5,6.4,,4,,
2025-04-10T02Z,6.4,6.35,6.3,,4,,
2025-04-10T03Z,6.3,6.25,6.2,,4,,
2025-04-10T04Z,6.2,6.15,6.1,,4,,
2025-04-10T05Z,6.1,6.1,,,4,,
2025-04-10T06Z,6.1,6.125,,6.2,4,,
2025-04-10T07Z,6.2,6.3,,6.4,4,,
2025-04-10T08Z,6.5,6.575,,6.7,4,,
2025-04-10T09Z,6.8,7.025,,7.2,4,,
2025-04-10T10Z,7.4,7.7,,8.0,4,,
2025-04-10T11Z,8.2,8.55,,8.9,4,,
2025-04-10T12Z,9.0,9.275,,9.5,4,,
2025-04-10T13Z,9.6,9.8,,9.9,4,,
2025-04-10T14Z,10.0,10.075,,10.2,4,,
2025-04-10T15Z,10.3,10.325,,10.4,4,,
2025-04-10T16Z,10.3,10.225,10.1,,4,,
2025-04-10T17Z,10.0,9.8,9.6,,4,,
2025-04-10T18Z,9.5,9.35,9.2,,4,,
2025-04-10T19Z,9.1,8.95,8.8,,4,,
2025-04-10T20Z,8.7,8.55,8.4,,4,,
2025-04-10T21Z,8.3,8.15,8.0,,4,,
2025-04-10T22Z,7.9,7.8,7.7,,4,,
2025-04-10T23Z,7.6,7.475,7.4,,4,,
2025-04-11T00Z,7.3,7.15,7.0,,4,,
2025-04-11T01Z,7.0,6.875,6.8,,4,,
2025-04-11T02Z,6.7,6.65,6.6,,4,,
2025-04-11T03Z,6.5,6.475,6.4,,4,,
2025-04-11T04Z,6.4,6.35,6.3,,4,,
2025-04-11T05Z,6.3,6.25,6.2,,4,,
2025-04-11T06Z,6.2,6.25,,6.3,4,,
2025-04-11T07Z,6.4,6.55,,6.7,4,,
2025-04-11T08Z,6.8,7.025,,7.3,4,,
2025-04-11T09Z,7.4,7.7,,8.0,4,,
2025-04-11T10Z,8.2,8.55,,8.9,4,,
2025-04-11T11Z,9.1,9.425,,9.8,4,,
2025-04-11T12Z,10.0,10.225,,10.5,4,,
2025-04-11T13Z,10.7,10.875,,11.1,4,,
2025-04-11T14Z,11.2,11.3,,11.4,4,,
2025-04-11T15Z,11.4,11.475,,11.5,4,,
2025-04-11T16Z,11.5,11.4,11.3,,4,,
2025-04-11T17Z,11.2,11.05,10.9,,4,,
2025-04-11T18Z,10.7,10.55,10.4,,4,,
2025-04-11T19Z,10.3,10.075,9.9,,4,,
2025-04-11T20Z,9.8,9.575,9.4,,4,,
2025-04-11T21Z,9.2,9.025,8.8,,4,,
2025-04-11T22Z,8.7,8.5,8.3,,4,,
2025-04-11T23Z,8.2,8.0,7.8,,4,,
2025-04-12T00Z,7.7,7.55,7.4,,4,,
2025-04-12T01Z,7.3,7.2,7.1,,4,,
2025-04-12T02Z,7.0,6.95,6.9,,4,,
2025-04-12T03Z,6.9,6.825,6.8,,4,,
2025-04-12T04Z,6.7,6.7,,,4,,
2025-04-12T05Z,6.6,6.6,,,4,,
2025-04-12T06Z,6.6,6.7,,6.8,4,,
2025-04-12T07Z,6.8,7.0,,7.2,4,,
2025-04-12T08Z,7.3,7.475,,7.7,4,,
2025-04-12T09Z,7.9,8.2,,8.5,4,,
2025-04-12T10Z,8.7,9.0,,9.3,4,,
2025-04-12T11Z,9.5,9.85,,10.2,4,,
2025-04-12T12Z,10.4,10.65,,10.9,4,,
2025-04-12T13Z,11.1,11.3,,11.5,4,,
2025-04-12T14Z,11.6,11.7,,11.8,4,,
2025-04-12T15Z,11.9,11.9,,,4,,
2025-04-12T16Z,11.9,11.85,11.8,,4,,
2025-04-12T17Z,11.7,11.55,11.4,,4,,
2025-04-12T18Z,11.3,11.075,10.9,,4,,
2025-04-12T19Z,10.8,10.6,10.4,,4,,
2025-04-12T20Z,10.3,10.075,9.9,,4,,
2025-04-12T21Z,9.7,9.55,9.4,,4,,
2025-04-12T22Z,9.2,9.05,8.9,,4,,
2025-04-12T23Z,8.8,8.575,8.4,,4,,
2025-04-13T00Z,8.3,8.15,8.0,,4,,
2025-04-13T01Z,8.0,7.875,7.8,,4,,
2025-04-13T02Z,7.7,7.65,7.6,,4,,
2025-04-13T03Z,7.6,7.55,7.5,,4,,
2025-04-13T04Z,7.5,7.45,7.4,,4,,
2025-04-13T05Z,7.4,7.4,,,4,,
2025-04-13T06Z,7.4,7.475,,7.5,4,,
2025-04-13T07Z,7.5,7.6,,7.7,4,,
2025-04-13T08Z,7.7,7.825,,7.9,4,,
2025-04-13T09Z,8.0,8.15,,8.3,4,,
2025-04-13T10Z,8.4,8.55,,8.7,4,,
2025-04-13T11Z,8.8,8.95,,9.1,4,,
2025-04-13T12Z,9.2,9.425,,9.6,4,,
2025-04-13T13Z,9.7,9.85,,10.0,4,,
2025-04-13T14Z,10.1,10.1,,,4,,
2025-04-13T15Z,10.1,10.175,,10.2,4,,
2025-04-13T16Z,10.3,10.25,10.2,,4,,
2025-04-13T17Z,10.2,10.125,10.0,,4,,
2025-04-13T18Z,10.0,9.9,9.8,,4,,
2025-04-13T19Z,9.7,9.625,9.5,,4,,
2025-04-13T20Z,9.4,9.25,9.1,,4,,
2025-04-13T21Z,9.1,8.95,8.8,,4,,
2025-04-13T22Z,8.7,8.575,8.5,,4,,
2025-04-13T23Z,8.4,8.275,8.2,,4,,
2025-04-14T00Z,8.1,8.025,7.9,,4,,
2025-04-14T01Z,7.9,7.8,7.7,,4,,
2025-04-14T02Z,7.7,7.6,7.5,,4,,
2025-04-14T03Z,7.5,7.45,7.4,,4,,
2025-04-14T04Z,7.4,7.35,7.3,,4,,
2025-04-14T05Z,7.3,7.3,,,4,,
2025-04-14T06Z,7.3,7.35,,7.4,4,,
2025-04-14T07Z,7.5,7.575,,7.7,4,,
2025-04-14T08Z,7.9,8.1,,8.3,4,,
2025-04-14T09Z,8.5,8.8,,9.1,4,,
2025-04-14T10Z,9.3,9.6,,9.9,4,,
2025-04-14T11Z,10.0,10.3,,10.6,4,,
2025-04-14T12Z,10.7,11.0,,11.3,4,,
2025-04-14T13Z,11.4,11.575,,11.7,4,,
2025-04-14T14Z,11.8,11.925,,12.0,4,,
2025-04-14T15Z,12.0,11.975,11.9,,4,,
2025-04-14T16Z,11.9,11.775,11.7,,4,,
2025-04-14T17Z,11.6,11.45,11.3,,4,,
2025-04-14T18Z,11.3,11.15,11.0,,4,,
2025-04-14T19Z,10.9,10.75,10.6,,4,,
2025-04-14T20Z,10.4,10.25,10.1,,4,,
2025-04-14T21Z,10.0,9.8,9.6,,4,,
2025-04-14T22Z,9.5,9.35,9.2,,4,,
2025-04-14T23Z,9.1,8.975,8.9,,4,,
2025-04-15T00Z,8.8,8.675,8.6,,4,,
2025-04-15T01Z,8.5,8.4,8.3,,4,,
2025-04-15T02Z,8.3,8.2,8.1,,4,,
2025-04-15T03Z,8.1,8.05,8.0,,4,,
2025-04-15T04Z,8.0,7.925000000000001,7.9,,4,,
2025-04-15T05Z,7.9,7.9,,,4,,
2025-04-15T06Z,7.9,7.925000000000001,,8.0,4,,
2025-04-15T07Z,8.0,8.1,,8.2,4,,
2025-04-15T08Z,8.4,8.55,,8.7,4,,
2025-04-15T09Z,8.8,9.05,,9.3,4,,
2025-04-15T10Z,9.5,9.75,,9.9,4,,
2025-04-15T11Z,10.0,10.025,,10.1,4,,
2025-04-15T12Z,10.2,10.25,,10.3,4,,
2025-04-15T13Z,10.4,10.45,,10.5,4,,
2025-04-15T14Z,10.6,10.7,,10.8,4,,
2025-04-15T15Z,10.8,10.825,,10.9,4,,
2025-04-15T16Z,10.9,10.9,,,4,,
2025-04-15T17Z,10.9,10.85,10.8,,4,,
2025-04-15T18Z,10.6,10.425,10.2,,4,,
2025-04-15T19Z,10.1,9.95,9.8,,4,,
2025-04-15T20Z,9.7,9.55,9.4,,4,,
2025-04-15T21Z,9.3,9.225,9.1,,4,,
2025-04-15T22Z,9.1,8.95,8.8,,4,,
2025-04-15T23Z,8.7,8.625,8.5,,4,,
2025-04-16T00Z,8.4,8.3,8.2,,4,,
2025-04-16T01Z,8.2,8.075,8.0,,4,,
2025-04-16T02Z,7.9,7.85,7.8,,4,,
2025-04-16T03Z,7.8,7.725,7.7,,4,,
2025-04-16T04Z,7.7,7.65,7.6,,4,,
2025-04-16T05Z,7.6,7.6,,,4,,
2025-04-16T06Z,7.6,7.675,,7.8,4,,
2025-04-16T07Z,7.8,8.025,,8.2,4,,
2025-04-16T08Z,8.3,8.45,,8.6,4,,
2025-04-16T09Z,8.7,8.95,,9.2,4,,
2025-04-16T10Z,9.3,9.525,,9.7,4,,
2025-04-16T11Z,9.8,9.975,,10.2,4,,
2025-04-16T12Z,10.3,10.6,,10.9,4,,
