timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2009-09-01T00Z,13.3,13.3,,,1,,
2009-09-01T01Z,13.1,13.1,,,1,,
2009-09-01T02Z,12.9,12.9,,,1,,
2009-09-01T03Z,12.7,12.7,,,1,,
2009-09-01T04Z,12.5,12.5,,,1,,
2009-09-01T05Z,12.4,12.4,,,1,,
2009-09-01T06Z,12.4,12.4,,,1,,
2009-09-01T07Z,12.3,12.3,,,1,,
2009-09-01T08Z,12.3,12.3,,,1,,
2009-09-01T09Z,12.4,12.4,,,1,,
2009-09-01T10Z,12.5,12.5,,,1,,
2009-09-01T11Z,12.8,12.8,,,1,,
2009-09-01T12Z,13.1,13.1,,,1,,
2009-09-01T13Z,13.5,13.5,,,1,,
2009-09-01T14Z,13.9,13.9,,,1,,
2009-09-01T15Z,15.0,15.0,,,1,,
2009-09-01T16Z,16.7,16.7,,,1,,
2009-09-01T17Z,16.9,16.9,,,1,,
2009-09-01T18Z,16.9,16.9,,,1,,
2009-09-01T19Z,16.9,16.9,,,1,,
2009-09-01T20Z,16.8,16.8,,,1,,
2009-09-01T21Z,16.6,16.6,,,1,,
2009-09-01T22Z,16.4,16.4,,,1,,
2009-09-01T23Z,16.2,16.2,,,1,,
2009-09-02T00Z,15.9,15.9,,,1,,
2009-09-02T01Z,15.7,15.7,,,1,,
2009-09-02T02Z,15.5,15.5,,,1,,
2009-09-02T03Z,15.4,15.4,,,1,,
2009-09-02T04Z,15.3,15.3,,,1,,
2009-09-02T05Z,15.3,15.3,,,1,,
2009-09-02T06Z,15.2,15.2,,,1,,
2009-09-02T07Z,15.1,15.1,,,1,,
2009-09-02T08Z,15.1,15.1,,,1,,
2009-09-02T09Z,15.1,15.1,,,1,,
2009-09-02T10Z,15.3,15.3,,,1,,
2009-09-02T11Z,15.4,15.4,,,1,,
2009-09-02T12Z,15.7,15.7,,,1,,
2009-09-02T13Z,16.0,16.0,,,1,,
2009-09-02T14Z,16.4,16.4,,,1,,
2009-09-02T15Z,16.7,16.7,,,1,,
2009-09-02T16Z,16.9,16.9,,,1,,
2009-09-02T17Z,17.0,17.0,,,1,,
2009-09-02T18Z,17.0,17.0,,,1,,
2009-09-02T19Z,16.9,16.9,,,1,,
2009-09-02T20Z,16.8,16.8,,,1,,
2009-09-02T21Z,16.6,16.6,,,1,,
2009-09-02T22Z,16.4,16.4,,,1,,
2009-09-02T23Z,16.2,16.2,,,1,,
2009-09-03T00Z,16.0,16.0,,,1,,
2009-09-03T01Z,15.8,15.8,,,1,,
2009-09-03T02Z,15.6,15.6,,,1,,
2009-09-03T03Z,15.4,15.4,,,1,,
2009-09-03T04Z,15.2,15.2,,,1,,
2009-09-03T05Z,15.1,15.1,,,1,,
2009-09-03T06Z,15.0,15.0,,,1,,
2009-09-03T07Z,14.9,14.9,,,1,,
2009-09-03T08Z,14.9,14.9,,,1,,
2009-09-03T09Z,14.9,14.9,,,1,,
2009-09-03T10Z,15.0,15.0,,,1,,
2009-09-03T11Z,15.1,15.1,,,1,,
2009-09-03T12Z,15.3,15.3,,,1,,
2009-09-03T13Z,15.5,15.5,,,1,,
2009-09-03T14Z,15.7,15.7,,,1,,
2009-09-03T15Z,15.8,15.8,,,1,,
2009-09-03T16Z,15.9,15.9,,,1,,
2009-09-03T17Z,16.0,16.0,,,1,,
2009-09-03T18Z,16.0,16.0,,,1,,
2009-09-03T19Z,15.9,15.9,,,1,,
2009-09-03T20Z,15.8,15.8,,,1,,
2009-09-03T21Z,15.7,15.7,,,1,,
2009-09-03T22Z,15.5,15.5,,,1,,
2009-09-03T23Z,15.4,15.4,,,1,,
2009-09-04T00Z,15.2,15.2,,,1,,
2009-09-04T01Z,15.1,15.1,,,1,,
2009-09-04T02Z,15.0,15.0,,,1,,
2009-09-04T03Z,14.9,14.9,,,1,,
2009-09-04T04Z,14.8,14.8,,,1,,
2009-09-04T05Z,14.7,14.7,,,1,,
2009-09-04T06Z,14.7,14.7,,,1,,
2009-09-04T07Z,14.6,14.6,,,1,,
2009-09-04T08Z,14.6,14.6,,,1,,
2009-09-04T09Z,14.6,14.6,,,1,,
2009-09-04T10Z,14.6,14.6,,,1,,
2009-09-04T11Z,14.6,14.6,,,1,,
2009-09-04T12Z,14.7,14.7,,,1,,
2009-09-04T13Z,14.8,14.8,,,1,,
2009-09-04T14Z,14.9,14.9,,,1,,
2009-09-04T15Z,15.0,15.0,,,1,,
2009-09-04T16Z,15.1,15.1,,,1,,
2009-09-04T17Z,15.2,15.2,,,1,,
2009-09-04T18Z,15.2,15.2,,,1,,
2009-09-04T19Z,15.2,15.2,,,1,,
2009-09-04T20Z,15.1,15.1,,,1,,
2009-09-04T21Z,15.0,15.0,,,1,,
2009-09-04T22Z,14.9,14.9,,,1,,
2009-09-04T23Z,14.8,14.8,,,1,,
2009-09-05T00Z,14.7,14.7,,,1,,
2009-09-05T01Z,14.6,14.6,,,1,,
2009-09-05T02Z,14.4,14.4,,,1,,
2009-09-05T03Z,14.3,14.3,,,1,,
2009-09-05T04Z,14.2,14.2,,,1,,
2009-09-05T05Z,14.1,14.1,,,1,,
2009-09-05T06Z,14.1,14.1,,,1,,
2009-09-05T07Z,14.1,14.1,,,1,,
2009-09-05T08Z,14.1,14.1,,,1,,
2009-09-05T09Z,14.2,14.2,,,1,,
2009-09-05T10Z,14.3,14.3,,,1,,
2009-09-05T11Z,14.5,14.5,,,1,,
2009-09-05T12Z,14.6,14.6,,,1,,
2009-09-05T13Z,14.8,14.8,,,1,,
2009-09-05T14Z,14.9,14.9,,,1,,
2009-09-05T15Z,15.1,15.1,,,1,,
2009-09-05T16Z,15.3,15.3,,,1,,
2009-09-05T17Z,15.3,15.3,,,1,,
2009-09-05T18Z,15.3,15.3,,,1,,
2009-09-05T19Z,15.2,15.2,,,1,,
2009-09-05T20Z,15.1,15.1,,,1,,
2009-09-05T21Z,15.0,15.0,,,1,,
2009-09-05T22Z,14.8,14.8,,,1,,
2009-09-05T23Z,14.6,14.6,,,1,,
2009-09-06T00Z,14.4,14.4,,,1,,
2009-09-06T01Z,14.3,14.3,,,1,,
2009-09-06T02Z,14.2,14.2,,,1,,
2009-09-06T03Z,14.2,14.2,,,1,,
2009-09-06T04Z,14.1,14.1,,,1,,
2009-09-06T05Z,14.0,14.0,,,1,,
2009-09-06T06Z,14.0,14.0,,,1,,
2009-09-06T07Z,14.0,14.0,,,1,,
2009-09-06T08Z,14.0,14.0,,,1,,
2009-09-06T09Z,14.1,14.1,,,1,,
2009-09-06T10Z,14.2,14.2,,,1,,
2009-09-06T11Z,14.5,14.5,,,1,,
2009-09-06T12Z,14.7,14.7,,,1,,
2009-09-06T13Z,15.0,15.0,,,1,,
2009-09-06T14Z,15.3,15.3,,,1,,
2009-09-06T15Z,15.5,15.5,,,1,,
2009-09-06T16Z,15.7,15.7,,,1,,
2009-09-06T17Z,15.7,15.7,,,1,,
2009-09-06T18Z,15.7,15.7,,,1,,
2009-09-06T19Z,15.6,15.6,,,1,,
2009-09-06T20Z,15.4,15.4,,,1,,
2009-09-06T21Z,15.1,15.1,,,1,,
2009-09-06T22Z,14.9,14.9,,,1,,
