timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2018-02-01T00Z,5.2,5.2,,,4,,
2018-02-01T01Z,5.1,5.1,,,4,,
2018-02-01T02Z,5.1,5.1,,,4,,
2018-02-01T03Z,5.1,5.025,5.0,,4,,
2018-02-01T04Z,5.0,5.0,,,4,,
2018-02-01T05Z,5.1,5.075,5.0,5.2,4,,
2018-02-01T06Z,5.0,4.975,4.9,,4,,
2018-02-01T07Z,4.9,4.925000000000001,,5.0,4,,
2018-02-01T08Z,5.0,5.0,,,4,,
2018-02-01T09Z,5.0,5.0,,,4,,
2018-02-01T10Z,5.0,5.0,,,4,,
2018-02-01T11Z,5.0,4.95,4.9,,4,,
2018-02-01T12Z,4.9,4.9,,,4,,
2018-02-01T13Z,4.9,4.9,,,4,,
2018-02-01T14Z,4.9,4.9,,,4,,
2018-02-01T15Z,4.9,4.9,,,4,,
2018-02-01T16Z,5.0,4.95,4.9,,4,,
2018-02-01T17Z,4.9,4.825,4.8,,4,,
2018-02-01T18Z,4.8,4.8,,,4,,
2018-02-01T19Z,4.8,4.75,4.7,,4,,
2018-02-01T20Z,4.7,4.7,,,4,,
2018-02-01T21Z,4.7,4.675,4.6,,4,,
2018-02-01T22Z,4.6,4.6,,,4,,
2018-02-01T23Z,4.5,4.5,,,4,,
2018-02-02T00Z,4.5,4.475,4.4,,4,,
2018-02-02T01Z,4.4,4.4,,,4,,
2018-02-02T02Z,4.4,4.4,,,4,,
2018-02-02T03Z,4.4,4.375,4.3,,4,,
2018-02-02T04Z,4.3,4.3,,,4,,
2018-02-02T05Z,4.3,4.275,4.2,,4,,
2018-02-02T06Z,4.2,4.2,,,4,,
2018-02-02T07Z,4.2,4.2,,,4,,
2018-02-02T08Z,4.2,4.175,4.1,,4,,
2018-02-02T09Z,4.2,4.2,,,4,,
2018-02-02T10Z,4.2,4.2,,,4,,
2018-02-02T11Z,4.2,4.2,,,4,,
2018-02-02T12Z,4.3,4.3,,,4,,
2018-02-02T13Z,4.3,4.3,,,4,,
2018-02-02T14Z,4.3,4.3,,,4,,
2018-02-02T15Z,4.4,4.4,,,4,,
2018-02-02T16Z,4.4,4.4,,,4,,
2018-02-02T17Z,4.4,4.325,4.3,,4,,
2018-02-02T18Z,4.3,4.325,,4.4,4,,
2018-02-02T19Z,4.4,4.35,4.3,,4,,
2018-02-02T20Z,4.3,4.3,,,4,,
2018-02-02T21Z,4.3,4.3,,,4,,
2018-02-02T22Z,4.3,4.3,,,4,,
2018-02-02T23Z,4.3,4.225,4.2,,4,,
2018-02-03T00Z,4.2,4.15,4.1,,4,,
2018-02-03T01Z,4.1,4.1,,,4,,
2018-02-03T02Z,4.0,4.0,,,4,,
2018-02-03T03Z,4.0,4.0,,,4,,
2018-02-03T04Z,4.0,3.95,3.9,,4,,
2018-02-03T05Z,3.9,3.9,,,4,,
2018-02-03T06Z,3.9,3.9,,,4,,
2018-02-03T07Z,3.9,3.9,,,4,,
2018-02-03T08Z,3.9,3.9,,,4,,
2018-02-03T09Z,3.9,3.925,,4.0,4,,
2018-02-03T10Z,4.0,4.0,,,4,,
2018-02-03T11Z,4.0,4.0,,,4,,
2018-02-03T12Z,4.1,4.1,,,4,,
2018-02-03T13Z,4.1,4.1,,,4,,
2018-02-03T14Z,4.1,4.1,,,4,,
2018-02-03T15Z,4.1,4.1,,,4,,
2018-02-03T16Z,4.1,4.1,,,4,,
2018-02-03T17Z,4.1,4.1,,,4,,
2018-02-03T18Z,4.1,4.1,,,4,,
2018-02-03T19Z,4.1,4.1,,,4,,
2018-02-03T20Z,4.1,4.025,4.0,,4,,
2018-02-03T21Z,4.0,4.0,,,4,,
2018-02-03T22Z,4.0,4.0,,,4,,
2018-02-03T23Z,4.0,3.975,3.9,,4,,
2018-02-04T00Z,3.9,3.9,,,4,,
2018-02-04T01Z,3.9,3.9,,,4,,
2018-02-04T02Z,3.8,3.8,,,4,,
2018-02-04T03Z,3.8,3.8,,,4,,
2018-02-04T04Z,3.8,3.8,,,4,,
2018-02-04T05Z,3.8,3.8,,,4,,
2018-02-04T06Z,3.8,3.75,3.7,,4,,
2018-02-04T07Z,3.7,3.7,,,4,,
2018-02-04T08Z,3.7,3.7,,,4,,
2018-02-04T09Z,3.7,3.7,,,4,,
2018-02-04T10Z,3.7,3.7,,,4,,
2018-02-04T11Z,3.7,3.75,,3.8,4,,
2018-02-04T12Z,3.8,3.8,,,4,,
2018-02-04T13Z,3.8,3.825,,3.9,4,,
2018-02-04T14Z,3.9,3.975,,4.0,4,,
2018-02-04T15Z,4.0,4.0,,,4,,
2018-02-04T16Z,4.0,3.975,3.9,,4,,
2018-02-04T17Z,3.9,3.975,,4.0,4,,
2018-02-04T18Z,4.0,4.0,,,4,,
2018-02-04T19Z,3.9,3.9,,,4,,
2018-02-04T20Z,3.9,3.925,,4.0,4,,
2018-02-04T21Z,4.0,4.0,,,4,,
2018-02-04T22Z,4.0,4.0,,,4,,
2018-02-04T23Z,4.0,3.975,3.9,,4,,
2018-02-05T00Z,3.9,3.9,,,4,,
2018-02-05T01Z,3.9,3.9,,,4,,
2018-02-05T02Z,3.9,3.875,3.8,,4,,
2018-02-05T03Z,3.8,3.8,,,4,,
2018-02-05T04Z,3.8,3.75,3.7,,4,,
2018-02-05T05Z,3.7,3.7,,,4,,
2018-02-05T06Z,3.7,3.85,,4.0,4,,
2018-02-05T07Z,3.9,3.95,,4.0,4,,
2018-02-05T08Z,4.0,3.975,3.9,,4,,
2018-02-05T09Z,3.9,3.9,,,4,,
2018-02-05T10Z,3.9,3.975,,4.0,4,,
2018-02-05T11Z,4.1,4.1,,,4,,
2018-02-05T12Z,4.1,4.15,,4.2,4,,
2018-02-05T13Z,4.2,4.15,4.1,,4,,
2018-02-05T14Z,4.0,4.074999999999999,,4.1,4,,
2018-02-05T15Z,4.1,4.15,,4.2,4,,
2018-02-05T16Z,4.2,4.2,,,4,,
2018-02-05T17Z,4.2,4.125,4.1,,4,,
2018-02-05T18Z,4.1,4.1,,,4,,
2018-02-05T19Z,4.1,4.1,,,4,,
2018-02-05T20Z,4.1,4.1,,,4,,
2018-02-05T21Z,4.1,4.1,,,4,,
2018-02-05T22Z,4.1,4.0,3.9,,4,,
2018-02-05T23Z,3.9,3.825,3.6,,4,,
2018-02-06T00Z,3.5,3.5,,,4,,
2018-02-06T01Z,3.4,3.4,,,4,,
2018-02-06T02Z,3.4,3.375,3.3,,4,,
2018-02-06T03Z,3.3,3.3,,,4,,
2018-02-06T04Z,3.3,3.25,3.2,,4,,
2018-02-06T05Z,3.3,3.325,,3.4,4,,
2018-02-06T06Z,3.4,3.525,,3.6,4,,
2018-02-06T07Z,3.6,3.575,3.5,,4,,
2018-02-06T08Z,3.6,3.55,3.5,,4,,
2018-02-06T09Z,3.5,3.5,,,4,,
2018-02-06T10Z,3.5,3.575,,3.6,4,,
2018-02-06T11Z,3.7,3.7,,,4,,
2018-02-06T12Z,3.7,3.775,,3.8,4,,
2018-02-06T13Z,3.8,3.875,,3.9,4,,
2018-02-06T14Z,4.0,4.0,,,4,,
2018-02-06T15Z,4.0,4.074999999999999,,4.1,4,,
2018-02-06T16Z,4.1,4.1,,,4,,
2018-02-06T17Z,4.1,4.125,,4.2,4,,
2018-02-06T18Z,4.1,4.225,,4.3,4,,
2018-02-06T19Z,4.3,4.25,4.2,,4,,
2018-02-06T20Z,4.2,4.125,4.1,,4,,
2018-02-06T21Z,4.2,4.05,3.9,,4,,
2018-02-06T22Z,3.8,3.85,,3.9,4,,
2018-02-06T23Z,3.8,3.775,3.7,,4,,
2018-02-07T00Z,3.7,3.675,3.6,,4,,
2018-02-07T01Z,3.6,3.575,3.5,,4,,
2018-02-07T02Z,3.5,3.45,3.4,,4,,
2018-02-07T03Z,3.4,3.4,,,4,,
2018-02-07T04Z,3.4,3.45,,3.5,4,,
2018-02-07T05Z,3.5,3.45,3.4,,4,,
