Horizon,River,Type,MAE,CRPS
24,Eisbach,Univariate,1.1955295138888888,0.46942708333333333
24,Isar,Univariate,0.6307291666666666,0.33272135416666665
24,Eisbach,Multivariate,1.195920138888889,0.4582096354166667
24,Isar,Multivariate,0.6287760416666666,0.32080078125
96,Eisbach,Univariate,0.9108262803819446,0.943095703125
96,Isar,Univariate,0.7963026258680554,0.5696809895833334
96,Eisbach,Multivariate,0.9086995442708334,0.9477848307291667
96,Isar,Multivariate,0.7978407118055556,0.5712744140625
