Horizon,River,Type,MAE,CRPS
24,Eisbach,Univariate,0.6421875000000001,0.61533203125
24,Isar,Univariate,0.4500000000000001,0.37878906250000005
24,Eisbach,Multivariate (Coupled),0.2583333333333335,0.4827473958333333
24,Isar,Multivariate (Coupled),0.15052083333333344,0.3562239583333333
96,Eisbach,Univariate,0.7529947916666666,1.0677132161458334
96,Isar,Univariate,0.6796875,0.8009488932291667
96,Eisbach,Multivariate (Coupled),0.3016927083333334,0.37501953125
96,Isar,Multivariate (Coupled),0.26575520833333327,0.32267415364583335
