,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-04-22 12:00:00+00:00,8.795479,8.985859,9.1991825,9.330377,9.46157,9.674893,9.865273,14.894287,16.161741,17.57994,18.451485,19.323027,20.741226,22.008682,1018.56946,1019.15607,1019.8306,1020.2512,1020.67175,1021.3463,1021.9329
2026-04-22 13:00:00+00:00,8.897269,9.143961,9.408285,9.567035,9.725784,9.990108,10.2368,14.783888,16.454325,18.171484,19.180101,20.18872,21.90588,23.576317,1017.8858,1018.562,1019.3356,1019.81647,1020.2974,1021.0709,1021.74713
2026-04-22 14:00:00+00:00,8.925406,9.242651,9.58436,9.79016,9.99596,10.337668,10.654914,14.4024725,16.369663,18.318382,19.440235,20.562086,22.510807,24.477999,1017.1758,1018.0014,1018.9344,1019.51074,1020.08704,1021.02,1021.84564
2026-04-22 15:00:00+00:00,9.016222,9.381331,9.776169,10.014473,10.252778,10.647615,11.012725,13.919548,15.858261,17.865353,19.048779,20.232204,22.239296,24.178013,1016.6961,1017.6641,1018.7495,1019.41724,1020.0849,1021.1703,1022.13837
2026-04-22 16:00:00+00:00,9.053391,9.469938,9.924784,10.200722,10.476659,10.931504,11.348052,13.197638,15.075397,17.1571,18.43016,19.703218,21.784924,23.662683,1016.3924,1017.5139,1018.76495,1019.5325,1020.30005,1021.551,1022.67255
2026-04-22 17:00:00+00:00,9.152037,9.595641,10.085571,10.384589,10.683607,11.173538,11.617142,12.1649885,13.981732,16.067244,17.366213,18.66518,20.75069,22.567436,1016.3701,1017.62115,1018.9999,1019.8404,1020.6809,1022.05963,1023.3106
2026-04-22 18:00:00+00:00,9.252299,9.698601,10.198496,10.505869,10.813242,11.313137,11.759439,11.046162,12.815782,14.91127,16.23774,17.564209,19.659697,21.429317,1016.4339,1017.81494,1019.32355,1020.23895,1021.15436,1022.66296,1024.044
2026-04-22 19:00:00+00:00,9.296367,9.75068,10.263933,10.580949,10.897964,11.411218,11.865531,10.032018,11.6897335,13.697255,14.982878,16.2685,18.27602,19.933737,1016.61896,1018.1429,1019.7701,1020.7456,1021.72107,1023.34827,1024.8722
2026-04-22 20:00:00+00:00,9.283328,9.759463,10.300142,10.634999,10.969856,11.510536,11.986671,8.761718,10.396329,12.373957,13.639801,14.905646,16.883274,18.517887,1016.92316,1018.55646,1020.2788,1021.3044,1022.33,1024.0524,1025.6857
2026-04-22 21:00:00+00:00,9.213805,9.717531,10.296126,10.65662,11.017113,11.595708,12.099434,7.671233,9.242563,11.120394,12.314746,13.509099,15.386929,16.95826,1017.06177,1018.8377,1020.6778,1021.7632,1022.8486,1024.6886,1026.4646
2026-04-22 22:00:00+00:00,9.139662,9.638984,10.217213,10.579015,10.940818,11.519046,12.018368,6.7365303,8.2318945,9.990666,11.100081,12.209497,13.968268,15.463633,1017.1694,1019.0567,1021.0048,1022.1516,1023.29846,1025.2466,1027.1339
2026-04-22 23:00:00+00:00,9.034867,9.534793,10.116112,10.48063,10.845149,11.426467,11.9263935,5.679283,7.1692085,8.8972845,9.97944,11.061594,12.78967,14.279596,1017.1752,1019.13354,1021.1617,1022.35767,1023.55365,1025.5817,1027.5402
2026-04-23 00:00:00+00:00,8.924195,9.410669,9.986009,10.349971,10.713933,11.289272,11.775746,5.0595894,6.5688677,8.281651,9.342068,10.402485,12.115268,13.624547,1016.98785,1019.0535,1021.20154,1022.4711,1023.7407,1025.8887,1027.9543
2026-04-23 01:00:00+00:00,8.756385,9.245696,9.82187,10.1855345,10.549198,11.125372,11.614683,4.236817,5.830659,7.5970573,8.677111,9.757165,11.523562,13.117407,1016.7157,1018.9012,1021.1554,1022.4819,1023.80835,1026.0626,1028.248
2026-04-23 02:00:00+00:00,8.610434,9.0852165,9.6516485,10.0116,10.37155,10.937982,11.4127655,3.7096262,5.3854523,7.2158966,8.3265295,9.437162,11.267607,12.943433,1016.43085,1018.72406,1021.0921,1022.4863,1023.8806,1026.2487,1028.5419
2026-04-23 03:00:00+00:00,8.438999,8.917346,9.483876,9.842529,10.201182,10.767713,11.24606,3.2266693,5.0455084,7.0054445,8.186124,9.366803,11.326739,13.145579,1016.1225,1018.5314,1021.00653,1022.4601,1023.9136,1026.3888,1028.7976
2026-04-23 04:00:00+00:00,8.313859,8.784943,9.337563,9.685677,10.033791,10.5864105,11.057495,3.0671945,4.951894,6.9970574,8.233672,9.470286,11.51545,13.40015,1015.6077,1018.14667,1020.77844,1022.3313,1023.8841,1026.5159,1029.0548
2026-04-23 05:00:00+00:00,8.165915,8.623612,9.162636,9.502876,9.843117,10.382139,10.839838,3.129302,5.130491,7.3294544,8.667934,10.006414,12.205379,14.206568,1015.01953,1017.7703,1020.60223,1022.267,1023.93176,1026.7637,1029.5145
2026-04-23 06:00:00+00:00,8.107033,8.557361,9.083378,9.413997,9.7446165,10.270633,10.720962,3.7055454,5.7656384,8.069889,9.485669,10.90145,13.2057,15.265795,1014.38446,1017.3194,1020.326,1022.08875,1023.85144,1026.858,1029.7931
2026-04-23 07:00:00+00:00,8.062212,8.511261,9.035505,9.36492,9.694334,10.218578,10.667628,4.3895755,6.5672264,9.082491,10.654187,12.225883,14.741148,16.9188,1013.71954,1016.8243,1020.00507,1021.87,1023.73486,1026.9156,1030.0204
2026-04-23 08:00:00+00:00,8.015235,8.47665,9.011178,9.3457,9.680223,10.214751,10.676167,5.1648865,7.4486847,10.153742,11.866308,13.578875,16.283932,18.567732,1012.9929,1016.248,1019.58636,1021.5448,1023.50323,1026.8416,1030.0967
2026-04-23 09:00:00+00:00,8.048791,8.502452,9.027517,9.355962,9.684406,10.209472,10.663133,5.8638926,8.383459,11.43651,13.392291,15.348072,18.401123,20.92069,1012.29706,1015.6626,1019.142,1021.192,1023.24207,1026.7214,1030.0869
2026-04-23 10:00:00+00:00,8.123754,8.582526,9.1111355,9.441024,9.770912,10.2995205,10.758294,6.5155,9.281524,12.685729,14.883983,17.082237,20.486443,23.252464,1011.5621,1015.0312,1018.62787,1020.7502,1022.87244,1026.4691,1029.9382
2026-04-23 11:00:00+00:00,8.232801,8.707419,9.255226,9.597402,9.939577,10.487384,10.962003,6.9210153,9.957922,13.74132,16.199745,18.658169,22.441565,25.478477,1010.76086,1014.31726,1018.0477,1020.2629,1022.478,1026.2085,1029.7649
2026-04-23 12:00:00+00:00,8.40213,8.89641,9.46164,9.81299,10.16434,10.72957,11.22385,7.416993,10.609418,14.618818,17.23489,19.850964,23.860363,27.052788,1010.0441,1013.66833,1017.495,1019.7752,1022.0554,1025.8821,1029.5062
2026-04-23 13:00:00+00:00,8.5940485,9.109176,9.700448,10.068705,10.43696,11.028233,11.54336,7.281266,10.657955,14.9418545,17.751497,20.56114,24.84504,28.221733,1009.3113,1013.0031,1016.94617,1019.31024,1021.67426,1025.6173,1029.3092
2026-04-23 14:00:00+00:00,8.788232,9.311634,9.914996,10.291629,10.6682625,11.271625,11.795027,7.342826,10.729808,15.034616,17.860601,20.686586,24.991394,28.378376,1008.6167,1012.4553,1016.51135,1018.92926,1021.34717,1025.4032,1029.2418
2026-04-23 15:00:00+00:00,9.010334,9.54449,10.16076,10.545618,10.930475,11.546745,12.080902,7.1634655,10.4756775,14.693254,17.464584,20.235916,24.453491,27.765705,1008.234,1012.12335,1016.2769,1018.7671,1021.25726,1025.4108,1029.3002
2026-04-23 16:00:00+00:00,9.135577,9.706745,10.369218,10.784074,11.198931,11.8614025,12.432571,6.8508863,10.051291,14.097097,16.745762,19.394428,23.440231,26.64064,1007.8792,1011.8746,1016.14966,1018.71545,1021.2812,1025.5563,1029.5516
2026-04-23 17:00:00+00:00,9.280266,9.870008,10.558329,10.990784,11.423239,12.111559,12.701302,6.3939795,9.433122,13.281354,15.802773,18.324192,22.172424,25.211567,1007.9634,1011.99506,1016.3131,1018.9059,1021.49866,1025.8168,1029.8484
2026-04-23 18:00:00+00:00,9.424668,10.022765,10.72141,11.16054,11.5996685,12.298313,12.89641,5.9125285,8.80723,12.466306,14.861694,17.257082,20.916157,23.81086,1008.09644,1012.16815,1016.52856,1019.14667,1021.7647,1026.1251,1030.1969
2026-04-23 19:00:00+00:00,9.419159,10.044375,10.778252,11.24069,11.703129,12.437004,13.062222,5.318401,8.093924,11.536945,13.769309,16.001673,19.444695,22.220219,1008.4403,1012.5525,1016.96545,1019.618,1022.27057,1026.6835,1030.7958
2026-04-23 20:00:00+00:00,9.459542,10.103956,10.8593855,11.335086,11.810786,12.5662155,13.21063,4.8766804,7.4275293,10.584696,12.629345,14.673995,17.831161,20.382011,1008.8262,1012.94934,1017.38184,1020.0486,1022.7153,1027.1477,1031.271
2026-04-23 21:00:00+00:00,9.452576,10.108002,10.882733,11.372693,11.862652,12.6373825,13.29281,4.019813,6.4497375,9.441399,11.373617,13.305836,16.297497,18.72742,1009.154,1013.28876,1017.75226,1020.4437,1023.1352,1027.5988,1031.7334
2026-04-23 22:00:00+00:00,9.427062,10.081033,10.854107,11.3430395,11.831971,12.605045,13.259016,3.4010992,5.7116313,8.515333,10.312685,12.110038,14.913739,17.224274,1009.45355,1013.61804,1018.11176,1020.8208,1023.52985,1028.0236,1032.1881
2026-04-23 23:00:00+00:00,9.3466,9.99618,10.767859,11.257158,11.746458,12.518138,13.167719,2.9046297,5.1012554,7.7411566,9.4251,11.109045,13.748946,15.945573,1009.722,1013.85486,1018.3392,1021.0505,1023.7618,1028.2461,1032.379
2026-04-24 00:00:00+00:00,9.26883,9.912479,10.681494,11.170547,11.6596,12.428614,13.072265,2.568987,4.6830835,7.19228,8.782537,10.372794,12.88199,14.996089,1009.6067,1013.8328,1018.39777,1021.1512,1023.9046,1028.4695,1032.6957
2026-04-24 01:00:00+00:00,9.175137,9.797498,10.542125,11.016016,11.489908,12.234535,12.856896,2.1219187,4.3030257,6.829881,8.411308,9.992736,12.519591,14.700701,1009.57153,1013.8262,1018.4353,1021.2197,1024.0042,1028.6133,1032.8679
2026-04-24 02:00:00+00:00,9.024599,9.648322,10.394015,10.868398,11.342781,12.088474,12.712197,1.811863,4.0404177,6.571982,8.140141,9.708298,12.239862,14.46842,1009.2512,1013.58905,1018.2926,1021.13556,1023.97845,1028.682,1033.0199
2026-04-24 03:00:00+00:00,8.901886,9.5131235,10.244456,10.70989,11.175324,11.906657,12.517896,1.4354048,3.7222075,6.342548,7.9730883,9.603629,12.22397,14.510773,1008.9591,1013.3893,1018.17145,1021.0549,1023.93835,1028.7206,1033.1506
