,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-05-02 07:00:00+00:00,10.562342,11.101438,11.705576,12.077146,12.448715,13.052854,13.591949,4.1122217,7.104591,10.559741,12.718367,14.876992,18.332142,21.324514,993.63275,999.4693,1006.03406,1010.07947,1014.1249,1020.68964,1026.5261
2026-05-02 08:00:00+00:00,10.623861,11.17266,11.7838335,12.158491,12.533148,13.144321,13.69312,4.879144,8.01375,11.699467,14.0240345,16.3486,20.034319,23.168928,993.07153,999.01746,1005.7868,1009.985,1014.1831,1020.95245,1026.8984
2026-05-02 09:00:00+00:00,10.717936,11.258881,11.863454,12.234761,12.606068,13.210642,13.751587,5.584188,8.942287,12.968305,15.533222,18.098139,22.124155,25.482258,992.49384,998.6068,1005.54486,1009.8405,1014.13617,1021.0742,1027.1873
2026-05-02 10:00:00+00:00,10.814765,11.367997,11.985524,12.364536,12.743547,13.361075,13.914308,6.178601,9.7620735,14.1145315,16.906101,19.697672,24.050129,27.633606,991.69214,997.95526,1005.1509,1009.63464,1014.11847,1021.3141,1027.5771
2026-05-02 11:00:00+00:00,10.917028,11.49238,12.132564,12.524823,12.917082,13.557265,14.132617,6.527115,10.366936,15.087787,18.134628,21.181473,25.90232,29.742146,991.1404,997.522,1004.8217,1009.36005,1013.8983,1021.1981,1027.5796
2026-05-02 12:00:00+00:00,11.056789,11.642659,12.299657,12.703878,13.108099,13.765096,14.350966,6.9173145,10.93076,15.895653,19.110182,22.32471,27.289602,31.303051,990.55066,997.0926,1004.5564,1009.19037,1013.82434,1021.2882,1027.8301
2026-05-02 13:00:00+00:00,11.246227,11.835408,12.497501,12.905308,13.313113,13.975206,14.564388,6.8271437,11.018255,16.248388,19.649832,23.051275,28.281406,32.472523,990.20703,996.83496,1004.3996,1009.09705,1013.79456,1021.3592,1027.9872
2026-05-02 14:00:00+00:00,11.362398,11.955667,12.628774,13.045456,13.462137,14.135244,14.728514,6.649269,10.933128,16.290602,19.778727,23.266853,28.624323,32.908184,989.69403,996.391,1004.0564,1008.82355,1013.5907,1021.2561,1027.953
2026-05-02 15:00:00+00:00,11.510223,12.108302,12.791463,13.215868,13.640274,14.323434,14.921514,6.3639083,10.592186,15.884515,19.33169,22.778864,28.071192,32.299473,989.4809,996.2381,1004.0199,1008.87494,1013.73,1021.5118,1028.269
2026-05-02 16:00:00+00:00,11.564082,12.185054,12.897763,13.341635,13.785507,14.498216,15.119188,5.996045,10.121106,15.250101,18.579552,21.909,27.037996,31.16306,989.68146,996.452,1004.2105,1009.0384,1013.86633,1021.6248,1028.3954
2026-05-02 17:00:00+00:00,11.658124,12.2840395,13.007435,13.459601,13.911769,14.635164,15.26108,5.5182962,9.505928,14.465442,17.685335,20.90523,25.864742,29.852375,989.8871,996.668,1004.4416,1009.2799,1014.1182,1021.8918,1028.6727
2026-05-02 18:00:00+00:00,11.677332,12.31758,13.058165,13.52128,13.984396,14.724979,15.365229,5.0372486,8.894596,13.687288,16.797295,19.907299,24.699993,28.55734,990.1995,996.95856,1004.6503,1009.4194,1014.1884,1021.8802,1028.6393
2026-05-02 19:00:00+00:00,11.613384,12.27983,13.050543,13.532441,14.014339,14.785052,15.451498,4.501582,8.295509,12.922521,15.8964615,18.870401,23.49741,27.29134,990.63153,997.5068,1005.2299,1009.9859,1014.74194,1022.4651,1029.3403
2026-05-02 20:00:00+00:00,11.627823,12.299231,13.07707,13.563878,14.050686,14.828525,15.499933,4.0992804,7.699769,12.085454,14.9024935,17.719532,22.105217,25.705708,991.08966,997.9799,1005.7512,1010.54706,1015.3429,1023.11414,1030.0045
2026-05-02 21:00:00+00:00,11.6217,12.293634,13.074303,13.563608,14.052914,14.833582,15.505516,3.3121262,6.7858553,10.999034,13.699298,16.399563,20.61274,24.08647,991.569,998.56635,1006.3813,1011.17914,1015.977,1023.7919,1030.7893
2026-05-02 22:00:00+00:00,11.564461,12.239654,13.022966,13.513556,14.004146,14.787458,15.462651,2.7477179,6.0871696,10.09016,12.640184,15.1902075,19.1932,22.53265,992.2187,999.24084,1007.02673,1011.7884,1016.5501,1024.3359,1031.3582
2026-05-02 23:00:00+00:00,11.485206,12.149292,12.922039,13.406769,13.8915,14.664246,15.328333,2.1027603,5.3208866,9.144795,11.569713,13.994631,17.818539,21.036669,992.96295,999.96204,1007.67694,1012.3806,1017.08435,1024.7992,1031.7983
2026-05-03 00:00:00+00:00,11.412013,12.067913,12.835202,13.317844,13.800486,14.567775,15.223676,1.720787,4.812782,8.447992,10.740573,13.033154,16.668362,19.76036,993.20154,1000.3554,1008.1315,1012.8375,1017.5435,1025.3196,1032.4735
2026-05-03 01:00:00+00:00,11.32451,11.982307,12.7506695,13.233613,13.716557,14.484919,15.142717,1.0733786,4.233488,7.876081,10.149775,12.42347,16.066061,19.226173,993.75946,1000.9102,1008.64734,1013.3185,1017.98956,1025.7267,1032.8774
2026-05-03 02:00:00+00:00,11.237899,11.901052,12.674663,13.160574,13.646486,14.420096,15.083251,0.6527891,3.8452806,7.481371,9.736826,11.992282,15.628372,18.820862,994.392,1001.4665,1009.0857,1013.6743,1018.2629,1025.8822,1032.9565
2026-05-03 03:00:00+00:00,11.194479,11.851803,12.615971,13.095089,13.574207,14.338375,14.995699,0.32018375,3.5420876,7.2358594,9.534986,11.834111,15.527884,18.74979,994.60767,1001.8377,1009.4313,1013.94336,1018.45544,1026.049,1033.279
2026-05-03 04:00:00+00:00,11.15646,11.810729,12.569033,13.04372,13.518407,14.2767105,14.930981,0.44323063,3.682376,7.4001513,9.715605,12.031058,15.748833,18.987978,994.8457,1002.0532,1009.6429,1014.15894,1018.675,1026.2646,1033.4722
2026-05-03 05:00:00+00:00,11.149446,11.793706,12.538005,13.00314,13.468277,14.212575,14.856836,0.75924206,4.0548687,7.882497,10.281143,12.679789,16.507416,19.803045,995.19275,1002.2689,1009.7196,1014.1528,1018.58594,1026.0366,1033.1128
2026-05-03 06:00:00+00:00,11.168763,11.812042,12.554598,13.018445,13.482292,14.224848,14.868127,1.2640381,4.649931,8.644668,11.168584,13.692499,17.687235,21.073132,995.07745,1002.18054,1009.6491,1014.0896,1018.53,1025.9987,1033.1018
2026-05-03 07:00:00+00:00,11.230106,11.866112,12.605034,13.068173,13.531314,14.270236,14.906241,1.8411684,5.4032726,9.670853,12.388671,15.106488,19.37407,22.936172,995.1123,1002.1638,1009.5706,1013.9719,1018.3732,1025.78,1032.8315
2026-05-03 08:00:00+00:00,11.358553,11.980914,12.699682,13.148787,13.597892,14.316659,14.93902,2.3359327,6.103041,10.684069,13.624063,16.564056,21.145084,24.912197,994.71124,1001.93915,1009.4033,1013.7984,1018.1935,1025.6576,1032.8855
2026-05-03 09:00:00+00:00,11.432235,12.050021,12.767454,13.217019,13.666584,14.384017,15.001803,2.8572197,6.9063277,11.857408,15.043896,18.230385,23.181465,27.230576,994.72235,1001.737,1009.11334,1013.49927,1017.88525,1025.2616,1032.2762
2026-05-03 10:00:00+00:00,11.500083,12.142334,12.88666,13.352581,13.818501,14.562827,15.205078,3.1859922,7.507853,12.859647,16.326468,19.79329,25.145079,29.466946,994.4291,1001.4213,1008.82764,1013.2485,1017.6694,1025.0757,1032.0679
2026-05-03 11:00:00+00:00,11.644517,12.282192,13.022161,13.485663,13.949165,14.689135,15.326811,3.7640934,8.283007,13.931167,17.607464,21.283764,26.931923,31.45084,993.8187,1000.9029,1008.33325,1012.7452,1017.1571,1024.5874,1031.6716
2026-05-03 12:00:00+00:00,11.678175,12.35128,13.130103,13.617207,14.104311,14.883134,15.556238,3.7185116,8.485617,14.496127,18.425732,22.355335,28.365847,33.132954,993.0609,1000.3394,1007.93225,1012.42755,1016.9229,1024.5157,1031.7942
2026-05-03 13:00:00+00:00,11.806128,12.484718,13.273191,13.767412,14.261633,15.050106,15.728699,3.928729,8.821646,14.996167,19.034798,23.07343,29.247948,34.14087,993.0269,1000.1582,1007.71356,1012.22394,1016.7343,1024.2897,1031.4209
2026-05-03 14:00:00+00:00,11.923904,12.617706,13.422092,13.925713,14.429334,15.233721,15.927522,3.7619667,8.7611885,15.080752,19.217901,23.35505,29.67461,34.673836,992.4517,999.6254,1007.2937,1011.89343,1016.49316,1024.1615,1031.3351
2026-05-03 15:00:00+00:00,12.049034,12.7469845,13.559382,14.069067,14.5787525,15.3911495,16.089102,3.5839882,8.523874,14.774443,18.868437,22.96243,29.212997,34.15289,992.1711,999.4769,1007.1939,1011.7934,1016.3929,1024.1099,1031.4158
2026-05-03 16:00:00+00:00,12.094852,12.812195,13.644009,14.164844,14.6856785,15.517491,16.234835,3.5646791,8.316866,14.319294,18.247204,22.175114,28.177544,32.92973,991.7593,999.3146,1007.1159,1011.7092,1016.3026,1024.1039,1031.6592
2026-05-03 17:00:00+00:00,12.138929,12.868802,13.717684,14.250036,14.782388,15.631269,16.361143,3.2167244,7.791151,13.546312,17.304842,21.063374,26.818535,31.392963,991.81024,999.1768,1007.0448,1011.76215,1016.4795,1024.3475,1031.7141
2026-05-03 18:00:00+00:00,12.0826645,12.836881,13.713994,14.264027,14.814058,15.691172,16.445389,2.9195147,7.3293004,12.838422,16.423346,20.008268,25.51739,29.927177,991.632,999.16504,1007.18463,1011.9845,1016.78436,1024.804,1032.337
2026-05-03 19:00:00+00:00,12.068695,12.828131,13.711407,14.265336,14.819265,15.702541,16.461977,2.619814,6.83602,12.113217,15.5505295,18.987843,24.26504,28.481249,991.90686,999.53217,1007.56665,1012.349,1017.1313,1025.1658,1032.7911
2026-05-03 20:00:00+00:00,12.06366,12.825524,13.715075,14.274067,14.83306,15.72261,16.484476,2.248004,6.2684684,11.273313,14.524136,17.774958,22.779802,26.800272,992.4174,999.9911,1008.044,1012.86066,1017.6773,1025.7302,1033.3038
2026-05-03 21:00:00+00:00,12.048589,12.8030815,13.685173,14.239853,14.794533,15.676624,16.43112,2.0886488,5.8588853,10.535613,13.567797,16.59998,21.276709,25.04695,992.94226,1000.52576,1008.5413,1013.32043,1018.09955,1026.1151,1033.6986
2026-05-03 22:00:00+00:00,11.981574,12.729945,13.607271,14.15974,14.71221,15.589537,16.337908,1.5061235,5.0859566,9.511088,12.37504,15.238992,19.664124,23.243956,993.136,1000.9455,1009.06476,1013.86304,1018.66125,1026.7805,1034.5901
2026-05-03 23:00:00+00:00,11.848826,12.604893,13.488648,14.044319,14.599991,15.483747,16.239813,0.9637594,4.4048996,8.624386,11.343941,14.063495,18.28298,21.724121,994.01483,1001.6666,1009.6799,1014.43396,1019.18805,1027.2013,1034.853
2026-05-04 00:00:00+00:00,11.748149,12.503889,13.38395,13.936216,14.4884815,15.368544,16.124283,0.65750027,3.960123,7.968341,10.538094,13.107846,17.116064,20.41869,994.39795,1001.98553,1009.96454,1014.7089,1019.45325,1027.4324,1035.0199
2026-05-04 01:00:00+00:00,11.576649,12.340168,13.229593,13.787833,14.346073,15.235498,15.999019,0.06688595,3.3708086,7.3314447,9.854567,12.377688,16.338326,19.64225,995.00446,1002.56146,1010.4233,1015.07086,1019.7185,1027.5803,1035.1373
2026-05-04 02:00:00+00:00,11.452339,12.221475,13.114801,13.674629,14.234457,15.127785,15.89692,-0.3028202,2.9496717,6.8581533,9.351185,11.844215,15.752698,19.00519,995.36523,1002.8922,1010.7063,1015.3205,1019.9347,1027.7488,1035.2758
2026-05-04 03:00:00+00:00,11.33852,12.11145,13.002854,13.55942,14.115984,15.007387,15.780319,-0.6136522,2.6868076,6.628324,9.134346,11.6403675,15.581884,18.882345,995.7563,1003.2424,1011.02057,1015.6157,1020.2109,1027.9891,1035.4752
2026-05-04 04:00:00+00:00,11.319424,12.071312,12.937669,13.478339,14.01901,14.8853655,15.637255,-0.6331377,2.74545,6.790942,9.366588,11.942234,15.987725,19.366318,996.0581,1003.3083,1011.02295,1015.6392,1020.25543,1027.9701,1035.2203
2026-05-04 05:00:00+00:00,11.271032,12.026102,12.892965,13.432923,13.972881,14.839745,15.594814,-0.63362026,2.937953,7.237471,9.982433,12.727397,17.026915,20.59849,996.15576,1003.3647,1011.03613,1015.62665,1020.21716,1027.8885,1035.0975
2026-05-04 06:00:00+00:00,11.254505,12.010048,12.873755,13.410545,13.947336,14.811043,15.5665865,-0.16565323,3.565093,8.105059,11.019744,13.93443,18.474392,22.205145,995.77045,1003.1348,1010.8755,1015.477,1020.0784,1027.8191,1035.1835
2026-05-04 07:00:00+00:00,11.211014,11.97996,12.860028,13.407324,13.95462,14.834688,15.603635,0.27561092,4.280176,9.169047,12.312933,15.45682,20.345688,24.350258,996.00745,1003.2569,1010.914,1015.4777,1020.0414,1027.6985,1034.948
