,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-04-30 13:00:00+00:00,11.9932785,12.242526,12.507792,12.666534,12.825277,13.090544,13.339792,16.682487,18.393778,20.264725,21.400501,22.536278,24.407227,26.118519,1010.2602,1011.0699,1011.9638,1012.5093,1013.05475,1013.94867,1014.75836
2026-04-30 14:00:00+00:00,11.911722,12.218978,12.540118,12.730443,12.920768,13.241908,13.549165,15.812022,18.08776,20.378685,21.709148,23.039608,25.330536,27.606274,1009.43695,1010.4592,1011.5588,1012.2206,1012.8823,1013.98193,1015.0042
2026-04-30 15:00:00+00:00,11.770899,12.140029,12.529417,12.761335,12.993253,13.382641,13.751772,14.589596,17.30383,19.986341,21.528671,23.071,25.753511,28.467747,1008.40125,1009.77325,1011.229,1012.09875,1012.9685,1014.4243,1015.79626
2026-04-30 16:00:00+00:00,11.705927,12.101043,12.524057,12.778006,13.031954,13.454969,13.850085,13.494656,16.1706,18.95805,20.607052,22.256052,25.043503,27.719448,1007.65717,1009.3536,1011.1529,1012.22766,1013.3025,1015.1018,1016.79816
2026-04-30 17:00:00+00:00,11.572189,12.015833,12.492338,12.77889,13.065441,13.5419445,13.985589,12.2481,14.869334,17.780485,19.562477,21.344467,24.25562,26.876854,1006.9807,1009.05457,1011.24286,1012.5463,1013.8498,1016.0381,1018.11194
2026-04-30 18:00:00+00:00,11.516395,11.984197,12.490001,12.795251,13.100502,13.606306,14.074108,11.026851,13.521298,16.385355,18.16944,19.953524,22.81758,25.31203,1006.8415,1009.14954,1011.583,1013.0319,1014.48083,1016.91425,1019.22235
2026-04-30 19:00:00+00:00,11.507814,11.972013,12.480366,12.789238,13.09811,13.606462,14.070662,10.026076,12.404629,15.206512,16.97534,18.744167,21.546051,23.924606,1006.6676,1009.23114,1011.9401,1013.55505,1015.17,1017.87897,1020.4425
2026-04-30 20:00:00+00:00,11.450551,11.925935,12.451057,12.771584,13.09211,13.617231,14.092617,9.185154,11.433201,14.125818,15.840403,17.554987,20.247604,22.495653,1006.58,1009.3754,1012.3199,1014.07227,1015.82465,1018.7691,1021.56445
2026-04-30 21:00:00+00:00,11.392531,11.887362,12.43386,12.7674,13.10094,13.647439,14.142269,8.018254,10.30187,13.02888,14.762664,16.496449,19.223457,21.507076,1006.68866,1009.6116,1012.6966,1014.5346,1016.37256,1019.4576,1022.38055
2026-04-30 22:00:00+00:00,11.31201,11.8291445,12.401365,12.750956,13.100546,13.672767,14.189901,6.857636,9.171286,11.892776,13.609558,15.32634,18.047829,20.36148,1006.62506,1009.71893,1012.9714,1014.90497,1016.83856,1020.09106,1023.18494
2026-04-30 23:00:00+00:00,11.264906,11.782554,12.358941,12.712244,13.065546,13.641933,14.159582,5.8286467,8.15555,10.852152,12.540088,14.2280245,16.924625,19.25153,1006.3527,1009.635,1013.0981,1015.1609,1017.2237,1020.68677,1023.96906
2026-05-01 00:00:00+00:00,11.159264,11.691242,12.287488,12.65423,13.020971,13.617218,14.149197,4.556383,6.9522996,9.698356,11.40735,13.116343,15.862399,18.258316,1006.3918,1009.724,1013.2625,1015.3775,1017.49255,1021.03107,1024.3633
2026-05-01 01:00:00+00:00,11.109016,11.62957,12.217978,12.581514,12.945051,13.533459,14.054012,3.8982353,6.319609,9.049605,10.734016,12.418427,15.148424,17.5698,1006.1469,1009.5959,1013.276,1015.4813,1017.68665,1021.3668,1024.8158
2026-05-01 02:00:00+00:00,11.017547,11.547227,12.14492,12.513861,12.882802,13.480495,14.010176,3.0775738,5.5849853,8.371271,10.077327,11.783382,14.569668,17.077082,1005.9887,1009.5599,1013.38055,1015.6734,1017.96625,1021.787,1025.3582
2026-05-01 03:00:00+00:00,10.990179,11.513881,12.105589,12.471082,12.836575,13.428283,13.951984,2.7494574,5.290876,8.08934,9.794622,11.499904,14.298368,16.839788,1005.71484,1009.42316,1013.4143,1015.81696,1018.21967,1022.21075,1025.9191
2026-05-01 04:00:00+00:00,10.955475,11.483581,12.079351,12.447057,12.814763,13.410533,13.93864,2.4658585,5.1335363,8.070343,9.859707,11.649071,14.585876,17.253557,1005.5396,1009.3667,1013.4773,1015.94934,1018.4214,1022.532,1026.359
2026-05-01 05:00:00+00:00,10.949457,11.478172,12.072508,12.438642,12.804775,13.399111,13.927826,2.7037916,5.4130845,8.449262,10.316631,12.184002,15.220178,17.929474,1005.18243,1009.1635,1013.44977,1016.03064,1018.6115,1022.89777,1026.8789
2026-05-01 06:00:00+00:00,10.987293,11.506211,12.088612,12.447095,12.805578,13.3879795,13.906898,3.0995808,5.9987745,9.2921715,11.332244,13.372317,16.665714,19.564909,1004.6255,1008.83325,1013.3472,1016.06,1018.77277,1023.2867,1027.4945
2026-05-01 07:00:00+00:00,10.979781,11.501217,12.085117,12.444096,12.803074,13.386974,13.908411,3.9443913,7.014573,10.557602,12.770492,14.98338,18.52641,21.596592,1004.09924,1008.4576,1013.13855,1015.95337,1018.7682,1023.44916,1027.8075
2026-05-01 08:00:00+00:00,10.999914,11.523438,12.107545,12.46596,12.824374,13.408481,13.932005,4.777829,8.04933,11.918966,14.367086,16.815205,20.684841,23.956345,1003.61237,1008.1164,1012.94696,1015.8496,1018.7522,1023.58276,1028.0868
2026-05-01 09:00:00+00:00,11.038875,11.565049,12.149731,12.5077305,12.865729,13.450411,13.976585,5.5340357,8.991577,13.15215,15.807853,18.463554,22.624128,26.081673,1002.88556,1007.50714,1012.51355,1015.53796,1018.5624,1023.5688,1028.1903
2026-05-01 10:00:00+00:00,11.0614,11.582766,12.163791,12.520098,12.876405,13.45743,13.978795,6.0696115,9.800368,14.365671,17.305037,20.244404,24.809704,28.540462,1002.06146,1006.8639,1012.064,1015.2047,1018.34534,1023.5455,1028.3479
2026-05-01 11:00:00+00:00,11.077797,11.6089325,12.198902,12.560065,12.921228,13.511197,14.042334,6.459889,10.450461,15.381987,18.573229,21.76447,26.695995,30.686573,1001.45294,1006.3251,1011.6452,1014.8727,1018.1002,1023.42035,1028.2925
2026-05-01 12:00:00+00:00,11.080561,11.630817,12.242342,12.616803,12.991264,13.602788,14.153047,6.7142887,10.928781,16.183838,19.60009,23.016338,28.271397,32.485893,1000.77734,1005.7349,1011.1626,1014.45996,1017.7574,1023.18506,1028.1427
2026-05-01 13:00:00+00:00,11.111535,11.670679,12.2982855,12.684612,13.070939,13.698545,14.25769,6.953184,11.282375,16.69986,20.228167,23.756474,29.173958,33.50315,1000.18396,1005.2576,1010.8089,1014.18024,1017.5515,1023.1028,1028.1765
2026-05-01 14:00:00+00:00,11.203707,11.759938,12.385666,12.771288,13.156909,13.782637,14.338869,6.6083813,11.079349,16.717903,20.404799,24.091698,29.730251,34.20122,999.8798,1004.99255,1010.614,1014.03687,1017.45966,1023.0811,1028.1938
2026-05-01 15:00:00+00:00,11.245327,11.8042965,12.437974,12.830081,13.222188,13.8558655,14.414835,6.433808,10.876343,16.478123,20.140667,23.803211,29.404991,33.847527,999.4352,1004.7026,1010.4579,1013.95056,1017.4432,1023.1985,1028.466
2026-05-01 16:00:00+00:00,11.292697,11.852869,12.491954,12.888727,13.285501,13.924585,14.484758,6.166944,10.430791,15.802338,19.312714,22.823088,28.194635,32.45848,999.4634,1004.7463,1010.5689,1014.11884,1017.6687,1023.49133,1028.7742
2026-05-01 17:00:00+00:00,11.293888,11.876012,12.540975,12.954084,13.367194,14.032158,14.614282,5.75343,9.806421,14.864499,18.154148,21.443798,26.501873,30.55487,999.63885,1004.97845,1010.8409,1014.4078,1017.9746,1023.8371,1029.1768
